,Authors,Title,Year,Link,Authors with Affiliations,Abstract
25,Jürgen Kilian;Holger H. Hoos,Voice Separation - A Local Optimization Approach.,2002,https://doi.org/10.5281/zenodo.1417645,,[TODO] Add abstract here.
26,Ja-Young Kim;Nicholas J. Belkin,Categories of Music Description and Search Terms and Phrases Used by Non-Music Experts.,2002,https://doi.org/10.5281/zenodo.1417763,,[TODO] Add abstract here.
27,Youngmoo E. Kim;Brian Whitman,Singer Identification in Popular Music using Warped Linear Prediction.,2002,https://doi.org/10.5281/zenodo.1416954,,[TODO] Add abstract here.
28,Olivier Lartillot,Integrating Pattern Matching into an Analogy-Oriented Pattern Discovery Framework.,2002,https://doi.org/10.5281/zenodo.1417048,,[TODO] Add abstract here.
29,Jin Ha Lee;J. Stephen Downie;Allen Renear,Representing Traditional Korean Music Notation in XML.,2002,https://doi.org/10.5281/zenodo.1418277,,[TODO] Add abstract here.
30,Beth Logan,Content-Based Playlist Generation: Exploratory Experiments.,2002,https://doi.org/10.5281/zenodo.1418061,,[TODO] Add abstract here.
31,Thomas Mandl 0001;Christa Womser-Hacker,Learning to cope with Diversity in Music Retrieval.,2002,https://doi.org/10.5281/zenodo.1416560,,[TODO] Add abstract here.
32,Matija Marolt;Sasa Divjak,On detecting repeated notes in piano music.,2002,https://doi.org/10.5281/zenodo.1416078,,[TODO] Add abstract here.
33,John R. McPherson,Introducing Feedback into an Optical Music Recogniition System.,2002,https://doi.org/10.5281/zenodo.1417725,,[TODO] Add abstract here.
34,Colin Meek;William P. Birmingham,Johnny Can't Sing: A Comprehensive Error Model for Sung Music Queries.,2002,https://doi.org/10.5281/zenodo.1418065,,[TODO] Add abstract here.
35,Massimo Melucci;Nicola Orio,A Comparison of Manual and Automatic Melody Segmentation.,2002,https://doi.org/10.5281/zenodo.1416914,,[TODO] Add abstract here.
36,Thomas Noll;Jörg Garbers;Karin Höthker;Christian Spevak;Tillman Weyde,Opuscope - Towards a Corpus-Based Music Repository.,2002,https://doi.org/10.5281/zenodo.1417411,,[TODO] Add abstract here.
37,Bryan Pardo;William P. Birmingham,Encoding Timing Information for Musical Query Matching.,2002,https://doi.org/10.5281/zenodo.1415776,,[TODO] Add abstract here.
38,Jouni Paulus;Anssi Klapuri,Measuring the similarity of Rhythmic Patterns.,2002,https://doi.org/10.5281/zenodo.1414712,,[TODO] Add abstract here.
39,Steffen Pauws,"CubyHum: a fully operational ""query by humming"" system.",2002,https://doi.org/10.5281/zenodo.1415614,,[TODO] Add abstract here.
40,Steffen Pauws;Berry Eggen,PATS: Realization and user evaluation of an automatic playlist generator.,2002,https://doi.org/10.5281/zenodo.1417971,,[TODO] Add abstract here.
41,Geoffroy Peeters;Amaury La Burthe;Xavier Rodet,Toward Automatic Music Audio Summary Generation from Signal Analysis.,2002,https://doi.org/10.5281/zenodo.1417885,,[TODO] Add abstract here.
42,Jeremy Pickens;Juan Pablo Bello;Tim Crawford;Matthew J. Dovey;Giuliano Monti;Mark B. Sandler,Polyphonic Score Retrieval Using Polyphonic Audio Queries: A Harmonic Modeling Approach.,2002,https://doi.org/10.5281/zenodo.1418091,,[TODO] Add abstract here.
43,Anna Pienimäki,Indexing Music Databases Using Automatic Extraction of Frequent Phrases.,2002,https://doi.org/10.5281/zenodo.1416632,,[TODO] Add abstract here.
44,Emanuele Pollastri,Some Considerations About Processing Singing Voice for Music Retrieval.,2002,https://doi.org/10.5281/zenodo.1416494,,[TODO] Add abstract here.
45,Christopher Raphael,Automatic Transcription of Piano Music.,2002,https://doi.org/10.5281/zenodo.1414952,,[TODO] Add abstract here.
46,Andreas Rauber;Elias Pampalk;Dieter Merkl,Using Psycho-Acoustic Models and Self-Organizing Maps to Create a Hierarchical Structuring of Music by Musical Styles.,2002,https://doi.org/10.5281/zenodo.1417143,,[TODO] Add abstract here.
47,Eric Schreier,About this Business of Metadata.,2002,https://doi.org/10.5281/zenodo.1414742,,[TODO] Add abstract here.
48,Jungmin Song;So-Young Bae;Kyoungro Yoon,Mid-Level Music Melody Representation of Polyphonic Audio for Query-by-Humming System.,2002,https://doi.org/10.5281/zenodo.1418309,,[TODO] Add abstract here.
49,Timo Sorsa;Katriina Halonen,Mobile Melody Recognition System with Voice-Only User Interface.,2002,https://doi.org/10.5281/zenodo.1415866,,[TODO] Add abstract here.
50,George Tzanetakis;Andrey Ermolinskiy;Perry R. Cook,Pitch Histograms in Audio and Symbolic Music Information Retrieval.,2002,https://doi.org/10.5281/zenodo.1416146,,[TODO] Add abstract here.
51,Alexandra L. Uitdenbogerd;Ron G. van Schyndel,A Review of Factors Affecting Music Recommender Success.,2002,https://doi.org/10.5281/zenodo.1417783,,[TODO] Add abstract here.
52,Hugues Vinet;Perfecto Herrera;François Pachet,The CUIDADO Project.,2002,https://doi.org/10.5281/zenodo.1416940,,[TODO] Add abstract here.
53,Chaokun Wang;Jianzhong Li;Shengfei Shi,A Kind of Content-Based Music Information Retrieval Method in Peer-to-peer Environment.,2002,https://doi.org/10.5281/zenodo.1417441,,[TODO] Add abstract here.
54,Brian Whitman;Paris Smaragdis,Combining Musical and Cultural Features for Intelligent Style Detection.,2002,https://doi.org/10.5281/zenodo.1417471,,[TODO] Add abstract here.
55,Geraint A. Wiggins;Kjell Lemström;David Meredith 0001,"SIA(M)ESE: An Algorithm for Transposition Invariant, Polyphonic Content-Based Music Retrieval.",2002,https://doi.org/10.5281/zenodo.1415960,,[TODO] Add abstract here.
56,Cheng Yang,MACSIS: A Scalable Acoustic Index for Content-Based Music Retrieval.,2002,https://doi.org/10.5281/zenodo.1416662,,[TODO] Add abstract here.
