"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Sponsors","Conference name","Conference date","Conference location","Conference code"
"Laplante A.; Bowman T.D.; Aamar N.","Laplante, Audrey (37110930300); Bowman, Timothy D. (57189183302); Aamar, Nawel (57210206881)","37110930300; 57189183302; 57210206881","""I'm at #osheaga!"": Listening to the backchannel of a music festival on twitter","2017","Proceedings of the 18th International Society for Music Information Retrieval Conference, ISMIR 2017","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055284501&partnerID=40&md5=a51abd74e4682ac675a8f3541e059507","Université de Montréal, Canada; Wayne State University, United States","Laplante A., Université de Montréal, Canada; Bowman T.D., Wayne State University, United States; Aamar N., Université de Montréal, Canada","It has become common practice for audience members to use social media to connect, share, and communicate with each other during events (e.g., sport events, elections, award ceremonies). But how is this backchannel used during a musical event and what does it say about how people engage with the music and the artists performing it? In this paper, we present the result of a study of a dataset composed of 31,140 tweets posted during and around the 10th edition of Osheaga, an important music festival held annually in Montreal. A combination of statistics and qualitative content analysis is used to examine the postings. This allows us to describe the content of these postings (i.e., topics, shared media), the type of message being shared (i.e., opinion, expression, information), and who the authors of these tweets are. © 2019 Audrey Laplante, Timothy D. Bowman, Nawel Aammar.","","Information retrieval; Back channels; Content analysis; Musical events; Social media; Sport events; Social networking (online)","","","18th International Society for Music Information Retrieval Conference, ISMIR 2017","23 October 2017 through 27 October 2017","Suzhou","149381"
"Wang C.-I.; Mysore G.J.; Dubnov S.","Wang, Cheng-I. (56668972700); Mysore, Gautham J. (24465525500); Dubnov, Shlomo (6602142600)","56668972700; 24465525500; 6602142600","Re-visiting the music segmentation problem with crowdsourcing","2017","Proceedings of the 18th International Society for Music Information Retrieval Conference, ISMIR 2017","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068973259&partnerID=40&md5=6941d245f354ac3a1040d26888baec1d","UCSD, United States; Adobe Research, United States","Wang C.-I., UCSD, United States; Mysore G.J., Adobe Research, United States; Dubnov S., UCSD, United States","Identifying boundaries in music structural segmentation is a well studied music information retrieval problem. The goal is to develop algorithms that automatically identify segmenting time points in music that closely matches human annotated data. The annotation itself is challenging due to its subjective nature, such as the degree of change that constitutes a boundary, the location of such boundaries, and whether a boundary should be assigned to a single time frame or a range of frames. Existing datasets have been annotated by small number of experts and the annotators tend to be constrained to specific definitions of segmentation boundaries. In this paper, we re-examine the annotation problem. We crowdsource the problem to a large number of annotators and present an analysis of the results. Our preliminary study suggests that although there is a correlation to existing datasets, this form of annotations reveals additional information such as stronger vs. weaker boundaries, gradual vs. sudden boundaries, and the difference in perception of boundaries between musicians and non-musicians. The study suggests that it could be worth re-defining certain aspects of the boundary identification in music structural segmentation problem with a broader definition. © 2019 Cheng-I Wang, Gautham J. Mysore, Shlomo Dubnov.","","Information retrieval; Boundary identification; Degree of change; Music information retrieval; Music segmentations; Segmentation boundaries; Time frame; Time points; Crowdsourcing","","","18th International Society for Music Information Retrieval Conference, ISMIR 2017","23 October 2017 through 27 October 2017","Suzhou","149381"
"Meseguer-Brocal G.; Cohen-Hadria A.; Peeters G.","Meseguer-Brocal, Gabriel (57210191728); Cohen-Hadria, Alice (57195434186); Peeters, Geoffroy (22433836000)","57210191728; 57195434186; 22433836000","DALI: A large dataset of synchronized audio, lyrics and notes, automatically created using teacher-student machine learning paradigm","2018","Proceedings of the 19th International Society for Music Information Retrieval Conference, ISMIR 2018","35","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064115409&partnerID=40&md5=a013152de6c6a5a93e8af19c843c97af","Ircam Lab, CNRS, Sorbonne Université, Ministère de la Culture, Paris, F-75004, France","Meseguer-Brocal G., Ircam Lab, CNRS, Sorbonne Université, Ministère de la Culture, Paris, F-75004, France; Cohen-Hadria A., Ircam Lab, CNRS, Sorbonne Université, Ministère de la Culture, Paris, F-75004, France; Peeters G., Ircam Lab, CNRS, Sorbonne Université, Ministère de la Culture, Paris, F-75004, France","The goal of this paper is twofold. First, we introduce DALI, a large and rich multimodal dataset containing 5358 audio tracks with their time-aligned vocal melody notes and lyrics at four levels of granularity. The second goal is to explain our methodology where dataset creation and learning models interact using a teacher-student machine learning paradigm that benefits each other. We start with a set of manual annotations of draft time-aligned lyrics and notes made by non-expert users of Karaoke games. This set comes without audio. Therefore, we need to find the corresponding audio and adapt the annotations to it. To that end, we retrieve audio candidates from the Web. Each candidate is then turned into a singing-voice probability over time using a teacher, a deep convolutional neural network singing-voice detection system (SVD), trained on cleaned data. Comparing the time-aligned lyrics and the singing-voice probability, we detect matches and update the time-alignment lyrics accordingly. From this, we obtain new audio sets. They are then used to train new SVD students used to perform again the above comparison. The process could be repeated iteratively. We show that this allows to progressively improve the performances of our SVD and get better audio-matching and alignment. © Gabriel Meseguer-Brocal, Alice Cohen-Hadria, Geoffroy Peeters.","","Deep neural networks; Information retrieval; Iterative methods; Machine learning; Neural networks; Speech recognition; Students; Audio matching; Convolutional neural network; Learning models; Manual annotation; Multi-modal dataset; Singing voice detection; Singing voices; Time alignment; Large dataset","","","19th International Society for Music Information Retrieval Conference, ISMIR 2018","23 September 2018 through 27 September 2018","Paris","149382"
"Nakamura E.; Yoshii K.; Katayose H.","Nakamura, Eita (24587601200); Yoshii, Kazuyoshi (7103400120); Katayose, Haruhiro (8341539100)","24587601200; 7103400120; 8341539100","Performance error detection and post-processing for fast and accurate symbolic music alignment","2017","Proceedings of the 18th International Society for Music Information Retrieval Conference, ISMIR 2017","35","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054228461&partnerID=40&md5=60c66c609d3d4bd7912509aad4d40323","Kyoto University, Japan; Kyoto University, RIKEN AIP, Japan; Kwansei Gakuin University, Japan","Nakamura E., Kyoto University, Japan; Yoshii K., Kyoto University, RIKEN AIP, Japan; Katayose H., Kwansei Gakuin University, Japan","This paper presents a fast and accurate alignment method for polyphonic symbolic music signals. It is known that to accurately align piano performances, methods using the voice structure are needed. However, such methods typically have high computational cost and they are applicable only when prior voice information is given. It is pointed out that alignment errors are typically accompanied by performance errors in the aligned signal. This suggests the possibility of correcting (or realigning) preliminary results by a fast (but not-so-accurate) alignment method with a refined method applied to limited segments of aligned signals, to save the computational cost. To realise this, we develop a method for detecting performance errors and a realignment method that works fast and accurately in local regions around performance errors. To remove the dependence on prior voice information, voice separation is performed to the reference signal in the local regions. By applying our method to results obtained by previously proposed hidden Markov models, the highest accuracies are achieved with short computation time. Our source code is published in the accompanying web page, together with a user interface to examine and correct alignment results. © 2019 Eita Nakamura, Kazuyoshi Yoshii, Haruhiro Katayose.","","Alignment; Hidden Markov models; Information retrieval; User interfaces; Websites; Alignment methods; Computation time; Computational costs; Performance error; Post processing; Reference signals; Voice informations; Voice separation; Errors","","","18th International Society for Music Information Retrieval Conference, ISMIR 2017","23 October 2017 through 27 October 2017","Suzhou","149381"
"Srinivasamurthy A.; Holzapfel A.; Serra X.","Srinivasamurthy, Ajay (55583336200); Holzapfel, Andre (18041818000); Serra, Xavier (55892979900)","55583336200; 18041818000; 55892979900","Informed automatic meter analysis of music recordings","2017","Proceedings of the 18th International Society for Music Information Retrieval Conference, ISMIR 2017","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069915655&partnerID=40&md5=ece231d57c47d9c8e641ea1bf5fb3790","Music Technology Group, Universitat Pompeu Fabra, Barcelona, Spain; Media Technology and Interaction Design Department, KTH Royal Institute of Technology, Stockholm, Sweden","Srinivasamurthy A., Music Technology Group, Universitat Pompeu Fabra, Barcelona, Spain; Holzapfel A., Media Technology and Interaction Design Department, KTH Royal Institute of Technology, Stockholm, Sweden; Serra X., Music Technology Group, Universitat Pompeu Fabra, Barcelona, Spain","Automatic meter analysis aims to annotate a recording of a metered piece of music with its metrical structure. This analysis subsumes correct estimation of the type of meter, the tempo, and the alignment of the metrical structure with the music signal. Recently, Bayesian models have been successfully applied to several of meter analysis tasks, but depending on the musical context, meter analysis still poses significant challenges. In this paper, we investigate if there are benefits to automatic meter analysis from additional a priori information about the metrical structure of music. We explore informed automatic meter analysis, in which varying levels of prior information about the metrical structure of the music piece is available to analysis algorithms. We formulate different informed meter analysis tasks and discuss their practical applications, with a focus on Indian art music. We then adapt state of the art Bayesian meter analysis methods to these tasks and evaluate them on corpora of Indian art music. The experiments show that the use of additional information aids meter analysis and improves automatic meter analysis performance, with significant gains for analysis of downbeats. © 2019 Ajay Srinivasamurthy, Andre Holzapfel, Xavier Serra.","","Bayesian networks; Information retrieval; Analysis algorithms; Analysis method; Bayesian model; Music recording; Music signals; Prior information; Priori information; State of the art; Audio recordings","","","18th International Society for Music Information Retrieval Conference, ISMIR 2017","23 October 2017 through 27 October 2017","Suzhou","149381"
"Waloschek S.; Hadjakos A.","Waloschek, Simon (57191268983); Hadjakos, Aristotelis (35113080700)","57191268983; 35113080700","Driftin’ down the scale: Dynamic time warping in the presence of pitch drift and transpositions","2018","Proceedings of the 19th International Society for Music Information Retrieval Conference, ISMIR 2018","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060935316&partnerID=40&md5=c530b58b4c75b4efe0a1342e90031d57","Center of Music and Film Informatics, Detmold University of Music, Germany","Waloschek S., Center of Music and Film Informatics, Detmold University of Music, Germany; Hadjakos A., Center of Music and Film Informatics, Detmold University of Music, Germany","Recordings of a cappella music often exhibit significant pitch drift. This drift may accumulate over time to a total transposition of several semitones, which renders the canonical 2-dimensional Dynamic Time Warping (DTW) useless. We propose Transposition-Aware Dynamic Time Warping (TA-DTW), an approach that introduces a 3rd dimension to DTW. Steps in this dimension represent changes in transposition. Paired with suitable input features, TA-DTW computes an optimal alignment path between a symbolic score and a corresponding audio recording in the presence of pitch drift or arbitrary transpositions. © Simon Waloschek, Aristotelis Hadjakos.","","Information retrieval; Dynamic time warping; Input features; Optimal alignments; Audio recordings","","","19th International Society for Music Information Retrieval Conference, ISMIR 2018","23 September 2018 through 27 September 2018","Paris","149382"
"Park S.; Kim T.; Lee K.; Kwak N.","Park, Sungheon (57022528300); Kim, Taehoon (57199878191); Lee, Kyogu (8597995500); Kwak, Nojun (7005248772)","57022528300; 57199878191; 8597995500; 7005248772","Music source separation using stacked hourglass networks","2018","Proceedings of the 19th International Society for Music Information Retrieval Conference, ISMIR 2018","27","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062230883&partnerID=40&md5=d0c1e1d786a2e509b5a00999fd3fb15b","Graduate School of Convergence Science and Technology, Seoul National University","Park S., Graduate School of Convergence Science and Technology, Seoul National University; Kim T., Graduate School of Convergence Science and Technology, Seoul National University; Lee K., Graduate School of Convergence Science and Technology, Seoul National University; Kwak N., Graduate School of Convergence Science and Technology, Seoul National University","In this paper, we propose a simple yet effective method for multiple music source separation using convolutional neural networks. Stacked hourglass network, which was originally designed for human pose estimation in natural images, is applied to a music source separation task. The network learns features from a spectrogram image across multiple scales and generates masks for each music source. The estimated mask is refined as it passes over stacked hourglass modules. The proposed framework is able to separate multiple music sources using a single network. Experimental results on MIR-1K and DSD100 datasets validate that the proposed method achieves competitive results comparable to the state-of-the-art methods in multiple music source separation and singing voice separation tasks. © Sungheon Park, Taehoon Kim, Kyogu Lee, Nojun Kwak.","","Information retrieval; Neural networks; Separation; Convolutional neural network; Human pose estimations; Multiple scale; Music source separations; Natural images; Singing voice separations; Single networks; State-of-the-art methods; Source separation","","","19th International Society for Music Information Retrieval Conference, ISMIR 2018","23 September 2018 through 27 September 2018","Paris","149382"
"Ganguli K.K.; Rao P.","Ganguli, Kaustuv Kanti (56094514100); Rao, Preeti (35180193500)","56094514100; 35180193500","Towards computational modeling of the ungrammatical in a raga performance","2017","Proceedings of the 18th International Society for Music Information Retrieval Conference, ISMIR 2017","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065210909&partnerID=40&md5=6d75df9c5217d063ddb8f0f090f00c91","Department of Electrical Engineering, Indian Institute of Technology Bombay, Mumbai, India","Ganguli K.K., Department of Electrical Engineering, Indian Institute of Technology Bombay, Mumbai, India; Rao P., Department of Electrical Engineering, Indian Institute of Technology Bombay, Mumbai, India","Raga performance allows for considerable flexibility in interpretation of the raga grammar in order to incorporate elements of creativity via improvisation. It is therefore of much interest in pedagogy to understand what ungrammaticality might mean in the context of a given raga, and possibly develop means to detect this in an audio recording of the raga performance. One prominent notion is that ungrammaticality is considered to occur only when the performer ""treads"" on another, possibly allied, raga in a listener's perception. With this view, we consider modeling the technical boundary of a raga as that which separates it from another raga that is closest to it in its distinctive features. We wish to find computational models that can indicate ungrammaticality using a data-driven estimation of the model parameters; i.e. the raga performances of great artists are used to obtain representations that discriminate most between same and different raga performances. We choose a well-known pair of allied ragas (Deshkar and Bhupali in north Indian classical music) for an empirical study of computational representations for the distinctive attributes of tonal hierarchy and melodic shape of a chosen common descending phrase. © 2019 Kaustuv Kanti Ganguli and Preeti Rao.","","Computation theory; Information retrieval; Computational model; Data driven; Empirical studies; Indian classical music; Model parameters; Audio recordings","","","18th International Society for Music Information Retrieval Conference, ISMIR 2017","23 October 2017 through 27 October 2017","Suzhou","149381"
"Lu W.-T.; Su L.","Lu, Wei-Tsung (57207994024); Su, Li (55966919100)","57207994024; 55966919100","Vocal melody extraction with semantic segmentation and audio-symbolic domain transfer learning","2018","Proceedings of the 19th International Society for Music Information Retrieval Conference, ISMIR 2018","29","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063526017&partnerID=40&md5=682a10ca9e511cef1676f3ffcdecf263","Institute of Information Science, Academia Sinica, Taiwan","Lu W.-T., Institute of Information Science, Academia Sinica, Taiwan; Su L., Institute of Information Science, Academia Sinica, Taiwan","The melody extraction problem is analogue to semantic segmentation on a time-frequency image, in which every pixel on the image is classified as a part of a melody object or not. Such an approach can benefit from a signal processing method that helps to enhance the true pitch contours on an image, and, a music language model with structural information on large-scale symbolic music data to be transfer into an audio-based model. In this paper, we propose a novel melody extraction system, using a deep convolutional neural network (DCNN) with dilated convolution as the semantic segmentation tool. The candidate pitch contours on the time-frequency image are enhanced by combining the spectrogram and cepstral-based features. Moreover, an adaptive progressive neural network is employed to transfer the semantic segmentation model in the symbolic domain to the one in the audio domain. This paper makes an attempt to bridge the semantic gaps between signal-level features and perceived melodies, and between symbolic data and audio data. Experiments show competitive accuracy of the proposed method on various datasets. © Wei-Tsung Lu and Li Su.","","Audio acoustics; Convolution; Deep neural networks; Extraction; Image enhancement; Information retrieval; Neural networks; Semantics; Convolutional neural network; Domain transfers; Language model; Melody extractions; Pitch contours; Semantic segmentation; Structural information; Time-frequency images; Image segmentation","","","19th International Society for Music Information Retrieval Conference, ISMIR 2018","23 September 2018 through 27 September 2018","Paris","149382"
"Sebastian J.; Murthy H.A.","Sebastian, Jilt (56637828700); Murthy, Hema A. (57200197348)","56637828700; 57200197348","Onset detection in composition items of Carnatic music","2017","Proceedings of the 18th International Society for Music Information Retrieval Conference, ISMIR 2017","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069819332&partnerID=40&md5=0026186adf8b4d288a0374292fd5e6bf","Indian Institute of Technology, Madras, India","Sebastian J., Indian Institute of Technology, Madras, India; Murthy H.A., Indian Institute of Technology, Madras, India","Complex rhythmic patterns associated with Carnatic music are revealed from the stroke locations of percussion instruments. However, a comprehensive approach for the detection of these locations from composition items is lacking. This is a challenging problem since the melodic sounds (typically vocal and violin) generate soft-onset locations which result in a number of false alarms. In this work, a separation-driven onset detection approach is proposed. Percussive separation is performed using a Deep Recurrent Neural Network (DRNN) in the first stage. A single model is used to separate the percussive vs the non-percussive sounds using discriminative training and time-frequency masking. This is then followed by an onset detection stage based on group delay (GD) processing on the separated percussive track. The proposed approach is evaluated on a large dataset of live Carnatic music concert recordings and compared against percussive separation and onset detection baselines. The separation performance is significantly better than that of Harmonic- Percussive Separation (HPS) algorithm and onset detection performance is better than the state-of-the-art Convolutional Neural Network (CNN) based algorithm. The proposed approach has an absolute improvement of 18.4% compared with the detection algorithm applied directly on the composition items. © 2019 Jilt Sebastian, Hema A. Murthy.","","Group delay; Information retrieval; Large dataset; Location; Musical instruments; Recurrent neural networks; Convolutional neural network; Detection algorithm; Discriminative training; Number of false alarms; Percussion instruments; Rhythmic patterns; Separation performance; Time-Frequency Masking; Separation","","","18th International Society for Music Information Retrieval Conference, ISMIR 2017","23 October 2017 through 27 October 2017","Suzhou","149381"
"Langhabel J.; Lieck R.; Toussaint M.; Rohrmeier M.","Langhabel, Jonas (57210209636); Lieck, Robert (55308121500); Toussaint, Marc (7006246144); Rohrmeier, Martin (6507901506)","57210209636; 55308121500; 7006246144; 6507901506","Feature discovery for sequential prediction of monophonic music","2017","Proceedings of the 18th International Society for Music Information Retrieval Conference, ISMIR 2017","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069848051&partnerID=40&md5=e1f9d6f70082ef76cab942bb5e12d561","Department of Computer Science, TU Berlin, Germany; Machine Learning and Robotics Lab, University of Stuttgart, Germany; Systematic Musicology and Music Cognition, TU Dresden, Germany; Digital and Cognitive Musicology Lab, EPFL, Switzerland","Langhabel J., Department of Computer Science, TU Berlin, Germany; Lieck R., Machine Learning and Robotics Lab, University of Stuttgart, Germany, Systematic Musicology and Music Cognition, TU Dresden, Germany; Toussaint M., Machine Learning and Robotics Lab, University of Stuttgart, Germany; Rohrmeier M., Systematic Musicology and Music Cognition, TU Dresden, Germany, Digital and Cognitive Musicology Lab, EPFL, Switzerland","Learning a model for sequential prediction of symbolic music remains an open challenge. An important special case is the prediction of pitch sequences based on a corpus of monophonic music. We contribute to this line of research in two respects: (1) Our models improve the stateof- the-art performance. (2) Our method affords learning interpretable models by discovering an explicit set of relevant features. We discover features using the PULSE learning framework, which repetitively suggests new candidate features using a generative operation and selects features while optimizing the underlying model. Defining a domain-specific generative operation allows to combine multiple music-theoretically motivated features in a unified model and to control their interaction on a fine-grained level. We evaluate our models on a set of benchmark corpora of monophonic chorales and folk songs, outperforming previous work. Finally, we discuss the characteristics of the discovered features from a musicological perspective, giving concrete examples. © 2019 Jonas Langhabel, Robert Lieck, Marc Toussaint, Martin Rohrmeier.","","Forecasting; Information retrieval; Domain specific; Feature discovery; Learning frameworks; Monophonic music; Relevant features; Sequential prediction; State-of-the-art performance; Unified Modeling; Learning systems","","","18th International Society for Music Information Retrieval Conference, ISMIR 2017","23 October 2017 through 27 October 2017","Suzhou","149381"
"Tralie C.J.","Tralie, Christopher J. (55921094200)","55921094200","Early MFCC and HPCP fusion for robust cover song identification","2017","Proceedings of the 18th International Society for Music Information Retrieval Conference, ISMIR 2017","16","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058527360&partnerID=40&md5=f91d16fbc397dc58204cbb4242c8c5eb","Duke University Department of Electrical and Computer Engineering, United States","Tralie C.J., Duke University Department of Electrical and Computer Engineering, United States","While most schemes for automatic cover song identification have focused on note-based features such as HPCP and chord profiles, a few recent papers surprisingly showed that local self-similarities of MFCC-based features also have classification power for this task. Since MFCC and HPCP capture complementary information, we design an unsupervised algorithm that combines normalized, beatsynchronous blocks of these features using cross-similarity fusion before attempting to locally align a pair of songs. As an added bonus, our scheme naturally incorporates structural information in each song to fill in alignment gaps where both feature sets fail. We show a striking jump in performance over MFCC and HPCP alone, achieving a state of the art mean reciprocal rank of 0.87 on the Covers80 dataset. We also introduce a new medium-sized hand designed benchmark dataset called ""Covers 1000,"" which consists of 395 cliques of cover songs for a total of 1000 songs, and we show that our algorithm achieves an MRR of 0.9 on this dataset for the first correctly identified song in a clique. We provide the precomputed HPCP and MFCC features, as well as beat intervals, for all songs in the Covers 1000 dataset for use in further research. © 2019 Christopher J. Tralie.","","Benchmark datasets; Classification power; Cover song identifications; Local selfsimilarity; Mean reciprocal ranks; State of the art; Structural information; Unsupervised algorithms; Information retrieval","C.J. Tralie; Duke University Department of Electrical and Computer Engineering, United States; email: ctralie@alumni.princeton.edu","","18th International Society for Music Information Retrieval Conference, ISMIR 2017","23 October 2017 through 27 October 2017","Suzhou","149381"
"Gkiokas A.; Katsouros V.","Gkiokas, Aggelos (14035320300); Katsouros, Vassilis (6507518296)","14035320300; 6507518296","Convolutional neural networks for real-time beat tracking: A dancing robot application","2017","Proceedings of the 18th International Society for Music Information Retrieval Conference, ISMIR 2017","17","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069811176&partnerID=40&md5=d6777e697f1645628d9924a4f04652cf","Institute for Language and Speech Processing, Athena Research and Innovation Center, Athens, Greece","Gkiokas A., Institute for Language and Speech Processing, Athena Research and Innovation Center, Athens, Greece; Katsouros V., Institute for Language and Speech Processing, Athena Research and Innovation Center, Athens, Greece","In this paper a novel approach that adopts Convolutional Neural Networks (CNN) for the Beat Tracking task is proposed. The proposed architecture involves 2 convolutional layers with the CNN filter dimensions corresponding to time and band frequencies, in order to learn a Beat Activation Function (BAF) from a time-frequency representation. The output of each convolutional layer is computed only over the past values of the previous layer, to enable the computation of the BAF in an online fashion. The output of the CNN is post-processed by a dynamic programming algorithm in combination with a bank of resonators for calculating the salient rhythmic periodicities. The proposed method has been designed to be computational efficient in order to be embedded on a dancing NAO robot application, where the dance moves of the choreography are synchronized with the beat tracking output. The proposed system was submitted to the Signal Processing Cup Challenge 2017 and ranked among the top third algorithms. © 2019 Aggelos Gkiokas and Vassilis Katsouros.","","Convolution; Information retrieval; Neural networks; Signal processing; Activation functions; Band frequencies; Beat tracking; Convolutional neural network; Dynamic programming algorithm; On-line fashion; Proposed architectures; Time-frequency representations; Dynamic programming","","","18th International Society for Music Information Retrieval Conference, ISMIR 2017","23 October 2017 through 27 October 2017","Suzhou","149381"
"Dong H.-W.; Yang Y.-H.","Dong, Hao-Wen (57205542731); Yang, Yi-Hsuan (55218558400)","57205542731; 55218558400","Convolutional generative adversarial networks with binary neurons for polyphonic music generation","2018","Proceedings of the 19th International Society for Music Information Retrieval Conference, ISMIR 2018","37","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062221767&partnerID=40&md5=93ca92bd23325fb4bb16ad53b747e79f","Research Center for IT innovation, Academia Sinica, Taipei, Taiwan","Dong H.-W., Research Center for IT innovation, Academia Sinica, Taipei, Taiwan; Yang Y.-H., Research Center for IT innovation, Academia Sinica, Taipei, Taiwan","It has been shown recently that deep convolutional generative adversarial networks (GANs) can learn to generate music in the form of piano-rolls, which represent music by binary-valued time-pitch matrices. However, existing models can only generate real-valued piano-rolls and require further post-processing, such as hard thresholding (HT) or Bernoulli sampling (BS), to obtain the final binary-valued results. In this paper, we study whether we can have a convolutional GAN model that directly creates binary-valued piano-rolls by using binary neurons. Specifically, we propose to append to the generator an additional refiner network, which uses binary neurons at the output layer. The whole network is trained in two stages. Firstly, the generator and the discriminator are pretrained. Then, the refiner network is trained along with the discriminator to learn to binarize the real-valued piano-rolls the pretrained generator creates. Experimental results show that using binary neurons instead of HT or BS indeed leads to better results in a number of objective measures. Moreover, deterministic binary neurons perform better than stochastic ones in both objective measures and a subjective test. The source code, training data and audio examples of the generated results can be found at https://salu133445.github.io/bmusegan/. © Hao-Wen Dong and Yi-Hsuan Yang.","","Convolution; Information retrieval; Musical instruments; Refining; Stochastic systems; Adversarial networks; Binary neurons; Hard thresholding; Objective measure; Output layer; Polyphonic music; Post processing; Training data; Neurons","","","19th International Society for Music Information Retrieval Conference, ISMIR 2018","23 September 2018 through 27 September 2018","Paris","149382"
"Teng Y.; Zhao A.; Goudeseune C.","Teng, Yifei (57210203046); Zhao, Anny (57210210096); Goudeseune, Camille (6504445678)","57210203046; 57210210096; 6504445678","Generating nontrivial melodies for music as a service","2017","Proceedings of the 18th International Society for Music Information Retrieval Conference, ISMIR 2017","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069906814&partnerID=40&md5=efb76f10627bc620d85e7e97c599944f","U. of Illinois, Dept. of ECE, United States; U. of Illinois, Beckman Inst., United States","Teng Y., U. of Illinois, Dept. of ECE, United States; Zhao A., U. of Illinois, Dept. of ECE, United States; Goudeseune C., U. of Illinois, Beckman Inst., United States","We present a hybrid neural network and rule-based system that generates pop music. Music produced by pure rule-based systems often sounds mechanical. Music produced by machine learning sounds better, but still lacks hierarchical temporal structure. We restore temporal hierarchy by augmenting machine learning with a temporal production grammar, which generates the music's overall structure and chord progressions. A compatible melody is then generated by a conditional variational recurrent autoencoder. The autoencoder is trained with eight-measure segments from a corpus of 10,000 MIDI files, each of which has had its melody track and chord progressions identified heuristically. The autoencoder maps melody into a multi-dimensional feature space, conditioned by the underlying chord progression. A melody is then generated by feeding a random sample from that space to the autoencoder's decoder, along with the chord progression generated by the grammar. The autoencoder can make musically plausible variations on an existing melody, suitable for recurring motifs. It can also reharmonize a melody to a new chord progression, keeping the rhythm and contour. The generated music compares favorably with that generated by other academic and commercial software designed for the music-as-a-service industry. © 2019 Yifei Teng, Anny Zhao, Camille Goudeseune.","","Information retrieval; Auto encoders; Commercial software; Feature space; Hybrid neural networks; Multi dimensional; Random sample; Service industries; Temporal structures; Machine learning","","","18th International Society for Music Information Retrieval Conference, ISMIR 2017","23 October 2017 through 27 October 2017","Suzhou","149381"
"Li S.; Dixon S.; Plumbley M.D.","Li, Shengchen (37039722900); Dixon, Simon (7201479437); Plumbley, Mark D. (6603774794)","37039722900; 7201479437; 6603774794","Clustering expressive timing with regressed polynomial coefficients demonstrated by a model selection test","2017","Proceedings of the 18th International Society for Music Information Retrieval Conference, ISMIR 2017","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056144567&partnerID=40&md5=cdc8e3fde30ded30671464e84955e369","Beijing University of Posts and Telecommunications, China; Queen Mary University of London, United Kingdom; University of Surrey, United Kingdom","Li S., Beijing University of Posts and Telecommunications, China; Dixon S., Queen Mary University of London, United Kingdom; Plumbley M.D., University of Surrey, United Kingdom","Though many past works have tried to cluster expressive timing within a phrase, there have been few attempts to cluster features of expressive timing with constant dimensions regardless of phrase lengths. For example, used as a way to represent expressive timing, tempo curves can be regressed by a polynomial function such that the number of regressed polynomial coefficients remains constant with a given order regardless of phrase lengths. In this paper, clustering the regressed polynomial coefficients is proposed for expressive timing analysis. A model selection test is presented to compare Gaussian Mixture Models (GMMs) fitting regressed polynomial coefficients and fitting expressive timing directly. As there are no expected results of clustering expressive timing, the proposed method is demonstrated by how well the expressive timing are approximated by the centroids of GMMs. The results show that GMMs fitting the regressed polynomial coefficients outperform GMMs fitting expressive timing directly. This conclusion suggests that it is possible to use regressed polynomial coefficients to represent expressive timing within a phrase and cluster expressive timing within phrases of different lengths. © 2019 Shengchen Li, Simon Dixon, Mark D. Plumbley.","","Information retrieval; Timing circuits; Cluster feature; Gaussian mixture model (GMMs); Model Selection; Polynomial coefficients; Polynomial functions; Timing Analysis; Polynomials","","","18th International Society for Music Information Retrieval Conference, ISMIR 2017","23 October 2017 through 27 October 2017","Suzhou","149381"
