Unnamed: 0,Authors,Title,Year,Link,Authors with Affiliations,Abstract,first_country,first_aff_cat,first_aff_cat_UN,title_tsne_2d,abstract_tsne_2d,title_tsne_3d,abstract_tsne_3d,title_umap_2d,abstract_umap_2d,title_umap_3d,abstract_umap_3d
10,Nadine Kroher;Emilia Gómez;Catherine Guastavino;Francisco Gómez 0001;Jordi Bonada,Computational Models for Perceived Melodic Similarity in A Cappella Flamenco Singing.,2014,https://doi.org/10.5281/zenodo.1416306,N. Kroher+Universitat Pompeu Fabra>ESP>education|McGill University>CAN>education|Technical University of Madrid>ESP>education;E. Gómez+Universitat Pompeu Fabra>ESP>education|McGill University>CAN>education|Technical University of Madrid>ESP>education;C. Guastavino+McGill University>CAN>education;F. Gómez+Technical University of Madrid>ESP>education;J. Bonada+Universitat Pompeu Fabra>ESP>education,"The present study investigates the mechanisms involved in the perception of melodic similarity in the context of a cappella flamenco singing performances. Flamenco songs belonging to the same style are characterized by a common melodic skeleton, which is subject to spontaneous improvisation containing strong prolongations and ornamentations. For our research we collected human similarity judgements from naïve and expert listeners who listened to audio recordings of a cappella flamenco performances as well as synthesized versions of the same songs. We furthermore calculated distances from manually extracted high-level descriptors defined by flamenco experts. The suitability of a set of computational melodic similarity measures was evaluated by analyzing the correlation between computed similarity and human ratings. We observed significant differences between listener groups and stimuli types. Furthermore, we observed a high correlation between human ratings and similarities computed from features from flamenco experts. We also observed that computational models based on temporal deviation, dynamics and ornamentation are better suited to model perceived similarity for this material than models based on chroma distance.",ESP,education,Developed economies,"[10.819264, -17.067167]","[14.01948, -5.40646]","[-5.2602105, -2.8155715, -15.397526]","[4.565446, 5.7116623, 6.098551]","[10.2651415, 10.677773]","[7.4631324, 2.5895302]","[9.761708, 15.649536, 1.9670185]","[6.745675, 2.9030354, -1.6120719]"
11,Christopher Antila;Julie Cumming,The VIS Framework: Analyzing Counterpoint in Large Datasets.,2014,https://doi.org/10.5281/zenodo.1417767,Christopher Antila+McGill University>CAN>education;Julie Cumming+McGill University>CAN>education,"The VIS Framework for Music Analysis is a modular Python library designed for “big data” queries in symbolic musical data. Initially created as a tool for studying musical style change in counterpoint, we have built on the music21 and pandas libraries to provide the foundation for much more. We describe the musicological needs that inspired the creation and growth of the VIS Framework, along with a survey of similar previous research. To demonstrate the effectiveness of our analytic approach and software, we present a sample query showing that the most commonly repeated contrapuntal patterns vary between three related style periods. We also emphasize our adaptation of typical n-gram-based research in music, our implementation strategy in VIS, and the flexibility of this approach for future researchers.",CAN,education,Developed economies,"[-8.63897, 42.622612]","[6.0268245, 4.8947268]","[29.763277, 5.3989735, 14.617479]","[-10.488317, -1.3717471, 10.598105]","[11.837713, 6.985392]","[7.9317594, 2.56773]","[12.747214, 14.531645, 1.556998]","[7.112839, 2.8596513, -0.10996942]"
12,Yoonchang Han;Kyogu Lee,Hierarchical Approach to Detect Common Mistakes of Beginner Flute Players.,2014,https://doi.org/10.5281/zenodo.1415878,Yoonchang Han+Seoul National University>KOR>education;Kyogu Lee+Seoul National University>KOR>education,"Music lessons are a repetitive process of giving feedback on a student’s performance techniques. The manner in which performance skills are improved depends on the particular instrument, and therefore, it is important to consider the unique characteristics of the target instrument. In this paper, we investigate the common mistakes of beginner flute players and propose a hierarchical approach to detect such mistakes. We first examine the structure and mechanism of the flute, and define several types of common mistakes that can be caused by incorrect assembly, poor blowing skills, or mis-fingering. We propose tailored algorithms for detecting each case by combining deterministic signal processing and deep learning, to quantify the quality of a flute sound. The system is structured hierarchically, as mis-fingering detection requires the input sound to be correctly assembled and blown to discriminate minor sound difference. Experimental results show that it is possible to identify different mistakes in flute performance using our proposed algorithms.",KOR,education,Developing economies,"[-36.932365, -12.095634]","[-12.829092, 24.36888]","[-6.162903, -16.296436, 10.010686]","[4.632553, 22.68751, -10.736]","[8.861691, 7.472985]","[8.692424, 4.3844333]","[10.632684, 13.115668, 0.04832291]","[8.292711, 4.375353, 1.0891703]"
13,Siying Wang;Sebastian Ewert;Simon Dixon,Robust Joint Alignment of Multiple Versions of a Piece of Music.,2014,https://doi.org/10.5281/zenodo.1416382,Siying Wang+Queen Mary University of London>GBR>education;Sebastian Ewert+Queen Mary University of London>GBR>education;Simon Dixon+Queen Mary University of London>GBR>education,"Large music content libraries often comprise multiple versions of a piece of music. To establish a link between different versions, automatic music alignment methods map each position in one version to a corresponding position in another version. Due to the leeway in interpreting a piece, any two versions can differ significantly, for example, in terms of local tempo, articulation, or playing style. For a given pair of versions, these differences can be significant such that even state-of-the-art methods fail to identify a correct alignment. In this paper, we present a novel method that increases the robustness for difficult to align cases. Instead of aligning only pairs of versions as done in previous methods, our method aligns multiple versions in a joint manner. This way, the alignment can be computed by comparing each version not only with one but with several versions, which stabilizes the comparison and leads to an increase in alignment robustness. Using recordings from the Mazurka Project, the alignment error for our proposed method was 14% lower on average compared to a state-of-the-art method, with significantly less outliers (standard deviation 53% lower).",GBR,education,Developed economies,"[-22.970377, 15.500472]","[4.0405445, -35.03149]","[4.112271, -14.313726, 10.939695]","[-1.9901625, -10.451116, -5.7495675]","[10.58871, 6.920407]","[10.116922, 0.8035274]","[11.413271, 14.048784, -0.38837156]","[9.105613, 2.6055384, 1.5920333]"
14,Bob L. Sturm;Rolf Bardeli;Thibault Langlois;Valentin Emiya,Formalizing the Problem of Music Description.,2014,https://doi.org/10.5281/zenodo.1414914,Bob L. Sturm+Aalborg University>DNK>education;Rolf Bardeli+Fraunhofer IAIS>DEU>facility;Thibault Langlois+Lisbon University>PRT>education;Valentin Emiya+Aix-Marseille Université>FRA>education,"The lack of a formalism for “the problem of music description” results in, among other things: ambiguity in what problem a music description system must address, how it should be evaluated, what criteria define its success, and the paradox that a music description system can reproduce the “ground truth” of a music dataset without attending to the music it contains. To address these issues, we formalize the problem of music description such that all elements of an instance of it are made explicit. This can thus inform the building of a system, and how it should be evaluated in a meaningful way. We provide illustrations of this formalism applied to three examples drawn from the literature.",DNK,education,Developed economies,"[5.792145, -4.05164]","[9.934274, -3.9409454]","[-5.1102004, -0.124343276, -4.0268974]","[-10.0078535, 2.3060644, 6.8926425]","[11.046987, 9.051442]","[7.924896, 2.6285717]","[11.241156, 14.989642, 1.5082715]","[7.191894, 2.9509444, -0.2791118]"
15,Tom Arjannikov;John Z. Zhang,An Association-based Approach to Genre Classification in Music.,2014,https://doi.org/10.5281/zenodo.1415786,Tom Arjannikov+University of Lethbridge>CAN>education;John Z. Zhang+University of Lethbridge>CAN>education,"Music Information Retrieval (MIR) is a multi-disciplinary research area that aims to automate the access to large-volume music data, including browsing, retrieval, storage, etc. The work that we present in this paper tackles a non-trivial problem in the field, namely music genre classification, which is one of the core tasks in MIR. In our proposed approach, we make use of association analysis to study and predict music genres based on the acoustic features extracted directly from music. In essence, we build an associative classifier, which finds inherent associations between content-based features and individual genres and then uses them to predict the genre(s) of a new music piece. We demonstrate the feasibility of our approach through a series of experiments using two publicly available music datasets. One of them is the largest available in MIR and contains real world data, while the other has been widely used and provides a good benchmarking basis. We show the effectiveness of our approach and discuss various related issues. In addition, due to its associative nature, our classifier can assign multiple genres to a single music piece; hopefully this would offer insights into the prevalent multi-label situation in genre classification.",CAN,education,Developed economies,"[34.156754, -12.810468]","[11.471416, 20.670134]","[1.0825529, 25.263926, 1.8661661]","[12.758879, 14.797215, 3.4226127]","[12.314804, 11.412547]","[6.4830523, 4.233555]","[12.158685, 15.110651, 3.206437]","[5.7333465, 4.015837, -0.018536853]"
16,Srikanth Cherla;Tillman Weyde;Artur S. d'Avila Garcez,Multiple Viewpiont Melodic Prediction with Fixed-Context Neural Networks.,2014,https://doi.org/10.5281/zenodo.1416944,Srikanth Cherla+City University London>GBR>education;Tillman Weyde+City University London>GBR>education;Artur d’Avila Garcez+City University London>GBR>education,"The multiple viewpoints representation is an event-based representation of symbolic music data which offers a means for the analysis and generation of notated music. Previous work using this representation has predominantly relied on n-gram and variable order Markov models for music sequence modelling. Recently the efficacy of a class of distributed models, namely restricted Boltzmann machines, was demonstrated for this purpose. In this paper, we demonstrate the use of two neural network models which use fixed-length sequences of various viewpoint types as input to predict the pitch of the next note in the sequence. The predictive performance of each of these models is comparable to that of models previously evaluated on the same task. We then combine the predictions of individual models using an entropy-weighted combination scheme to improve the overall prediction performance, and compare this with the predictions of a single equivalent model which takes as input all the viewpoint types of each of the individual models in the combination.",GBR,education,Developed economies,"[6.184477, -16.490507]","[-40.132816, 10.2872305]","[-8.946982, 10.054338, -6.7723255]","[-16.934872, 8.939485, -14.550458]","[9.654223, 10.361105]","[8.477285, 6.1590753]","[9.575094, 14.933846, 2.2081308]","[7.784193, 4.067877, 1.9632684]"
17,Laurent Pugin;Rodolfo Zitellini;Perry Roland,Verovio: A library for Engraving MEI Music Notation into SVG.,2014,https://doi.org/10.5281/zenodo.1417589,Laurent Pugin+Swiss RISM Office>CHE>facility;Rodolfo Zitellini+Swiss RISM Office>CHE>facility;Perry Roland+University of Virginia>USA>education,"Rendering symbolic music notation is a common component of many MIR applications, and many tools are available for this task. There is, however, a need for a tool that can natively render the Music Encoding Initiative (MEI) notation encodings that are increasingly used in music research projects. In this paper, we present Verovio, a library and toolkit for rendering MEI. A significant advantage of Verovio is that it implements MEI’s structure internally, making it the best suited solution for rendering features that make MEI unique. Verovio is designed as a fast, portable, lightweight tool written in pure standard C++ with no dependencies on third-party frameworks or libraries. It can be used as a command-line rendering tool, as a library, or it can be compiled to JavaScript using the Emscripten LLVM-to-JavaScript compiler. This last option is particularly interesting because it provides a complete in-browser music MEI typesetter. The SVG output from Verovio is organized in such a way that the MEI structure is preserved as much as possible. Since every graphic in SVG is an XML element that is easily addressable, Verovio is particularly well-suited for interactive applications, especially in web browsers. Verovio is available under the GPL open-source license.",CHE,facility,Developed economies,"[-8.9103365, 20.629238]","[12.470909, 1.0837466]","[8.215048, 4.4477196, 21.506296]","[-13.440419, -6.496446, 18.185583]","[11.208068, 7.547907]","[6.633696, 1.0554379]","[12.124373, 14.209506, 0.9734849]","[6.884579, 2.1453278, 0.6279907]"
18,Diego Furtado Silva;Rafael Geraldeli Rossi;Solange Oliveira Rezende;Gustavo Enrique De Almeida Prado Alves Batista,Music Classification by Transductive Learning Using Bipartite Heterogeneous Networks.,2014,https://doi.org/10.5281/zenodo.1418265,"Diego F. Silva+Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo>BRA>education;Rafael G. Rossi+Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo>BRA>education;Solange O. Rezende+Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo>BRA>education;Gustavo E. A. P. A. Batista+Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo>BRA>education","The popularization of music distribution in electronic format has increased the amount of music with incomplete metadata. The incompleteness of data can hamper some important tasks, such as music and artist recommendation. In this scenario, transductive classification can be used to classify the whole dataset considering just few labeled instances. Usually transductive classification is performed through label propagation, in which data are represented as networks and the examples propagate their labels through their connections. Similarity-based networks are usually applied to model data as network. However, this kind of representation requires the definition of parameters, which significantly affect the classification accuracy, and presents a high cost due to the computation of similarities among all dataset instances. In contrast, bipartite heterogeneous networks have appeared as an alternative to similarity-based networks in text mining applications. In these networks, the words are connected to the documents which they occur. Thus, there is no parameter or additional costs to generate such networks. In this paper, we propose the use of the bipartite network representation to perform transductive classification of music, using a bag-of-frames approach to describe music signals. We demonstrate that the proposed approach outperforms other music classification approaches when few labeled instances are available.",BRA,education,Developing economies,"[-9.026721, -9.050727]","[20.947212, 25.250298]","[-4.6771455, 15.585853, 14.210971]","[10.378547, 12.740166, 9.059067]","[11.431268, 10.730966]","[5.4670773, 4.005838]","[11.305221, 14.23938, 2.6232083]","[4.8844137, 3.600797, -0.6443822]"
19,Antti Laaksonen,Automatic Melody Transcription based on Chord Transcription.,2014,https://doi.org/10.5281/zenodo.1415218,Antti Laaksonen+University of Helsinki>FIN>education,"This paper focuses on automatic melody transcription in a situation where a chord transcription is already available. Given an excerpt of music in audio form and a chord transcription in symbolic form, the task is to create a symbolic melody transcription that consists of note onset times and pitches. We present an algorithm that divides the audio into segments based on the chord transcription, and then matches potential melody patterns to each segment. The algorithm uses chord information to favor melody patterns that are probable in the given harmony context. To evaluate the algorithm, we present a new ground truth dataset that consists of 1.5 hours of audio excerpts together with hand-made melody and chord transcriptions.",FIN,education,Developed economies,"[-42.586464, -32.750652]","[-10.94956, -7.9224653]","[-32.591667, -2.121833, -0.81820077]","[-16.693998, 12.436393, -2.44035]","[6.545176, 9.188378]","[11.446966, 3.6098683]","[8.830988, 12.663722, 2.3059702]","[8.996764, 3.4738863, -1.5723459]"
20,Marius Miron;Julio José Carabias-Orti;Jordi Janer,Audio-to-score Alignment at the Note Level for Orchestral Recordings.,2014,https://doi.org/10.5281/zenodo.1416150,Marius Miron+Universitat Pompeu Fabra>ESP>education;Julio José Carabias-Orti+Universitat Pompeu Fabra>ESP>education;Jordi Janer+Universitat Pompeu Fabra>ESP>education,"In this paper we propose an offline method for refining audio-to-score alignment at the note level in the context of orchestral recordings. State-of-the-art score alignment systems estimate note onsets with a low time resolution, and without detecting note offsets. For applications such as score-informed source separation we need a precise alignment at note level. Thus, we propose a novel method that refines alignment by determining the note onsets and offsets in complex orchestral mixtures by combining audio and image processing techniques. First, we introduce a note-wise pitch salience function that weighs the harmonic contribution according to the notes present in the score. Second, we perform image binarization and blob detection based on connectivity rules. Then, we pick the best combination of blobs, using dynamic programming. We finally obtain onset and offset times from the boundaries of the most salient blob. We evaluate our method on a dataset of Bach chorales, showing that the proposed approach can accurately estimate note onsets and offsets.",ESP,education,Developed economies,"[-23.285389, 17.997719]","[5.623177, -36.504395]","[1.7027543, -17.086378, 14.052667]","[-7.491026, -8.698228, -7.0356765]","[10.536402, 6.7991605]","[9.997589, 0.5290587]","[11.524266, 13.842789, -0.44003204]","[9.04653, 2.621768, 1.8093959]"
