Authors,Title,Year,Link,Authors with Affiliations,Abstract
Condit-Schultz N.; Arthur C.,Humdrumr: A new take on an old approach to computational musicology,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087093848&partnerID=40&md5=448d2fc6d98ac391270135dc86dd4f10,"Condit-Schultz N., Georgia Institute of Technology, United States; Arthur C., Georgia Institute of Technology, United States","Musicology research is a fundamentally humanistic endeavor. However, despite the productive work of a small niche of humanities-trained computational musicologists, most cutting-edge digital music research is pursued by scholars whose primary training is scientific or computational, not humanistic. This unfortunate situation is prolonged, at least in part, by the daunting barrier that computer coding presents to humanities scholars with no technical training. In this paper, we present humdrumR (""hum-drummer""), a software package designed to afford computational musicology research for both advanced and novice computer coders. Humdrum is a powerful and influential existing computational musicology framework including the humdrum syntax-a flexible text data format with tens of thousands of extant scores available-and the Bash-based humdrum toolkit. HumdrumR is a modern replacement for the humdrum toolkit, based in the dataanalysis/ statistical programming language R. By combining the flexibility and transparency of the humdrum syntax with the powerful data analysis tools and concise syntax of R, humdrumR offers an appealing new approach to would-be computational musicologists. HumdrumR leverages R's powerful metaprogramming capabilities to create an extremely expressive and composable syntax, allowing novices to achieve usable analyses quickly while avoiding many coding concepts that are commonly challenging for beginners. © 2020 International Society for Music Information Retrieval. All rights reserved."
Pauwels J.; O'Hanlon K.; Gómez E.; Sandler M.B.,20 years of automatic chord recognition from audio,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087096966&partnerID=40&md5=e8660a5914a46ee26ca639e84511f02f,"Pauwels J., Centre for Digital Music, Queen Mary University of London, United Kingdom; O'Hanlon K., Centre for Digital Music, Queen Mary University of London, United Kingdom; Gómez E., Music Technology Group, Universitat Pompeu Fabra, Spain; Sandler M.B., Centre for Digital Music, Queen Mary University of London, United Kingdom","In 1999, Fujishima published Realtime Chord Recognition of Musical Sound: a System using Common Lisp Music. This paper kickstarted an active research topic that has been popular in and around the ISMIR community. The field of Automatic Chord Recognition (ACR) has evolved considerably from early knowledge-based systems towards data-driven methods, with neural network approaches arguably being central to current ACR research. Nonetheless, many of its core issues were already addressed or referred to in the Fujishima paper. In this paper, we review those twenty years of ACR according to these issues. We furthermore attempt to frame current directions in the field in order to establish some perspective for future research. © 2020 International Society for Music Information Retrieval. All rights reserved."
Fuentes M.; Maia L.S.; Rocamora M.; Biscainho L.W.P.; Crayencour H.C.; Essid S.; Bello J.P.,Tracking beats and microtiming in Afro-latin American music using conditional random fields and deep learning,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087094424&partnerID=40&md5=2292d1e040914b7e59bb2835cd0de512,"Fuentes M., L2S, CNRS-Univ.Paris-Sud-CentraleSupélec, France, LTCI, Télécom Paris, Institut Polytechnique de Paris 0 France, France; Maia L.S., LTCI, Télécom Paris, Institut Polytechnique de Paris 0 France, France, Federal University of Rio de Janeiro, Brazil; Rocamora M., Universidad de la República, Uruguay; Biscainho L.W.P., Federal University of Rio de Janeiro, Brazil; Crayencour H.C., L2S, CNRS-Univ.Paris-Sud-CentraleSupélec, France; Essid S., LTCI, Télécom Paris, Institut Polytechnique de Paris 0 France, France; Bello J.P., Music and Audio Research Laboratory, New York University, United States","Events in music frequently exhibit small-scale temporal deviations (microtiming), with respect to the underlying regular metrical grid. In some cases, as in music from the Afro-Latin American tradition, such deviations appear systematically, disclosing their structural importance in rhythmic and stylistic configuration. In this work we explore the idea of automatically and jointly tracking beats and microtiming in timekeeper instruments of Afro-Latin American music, in particular Brazilian samba and Uruguayan candombe. To that end, we propose a language model based on conditional random fields that integrates beat and onset likelihoods as observations. We derive those activations using deep neural networks and evaluate its performance on manually annotated data using a scheme adapted to this task. We assess our approach in controlled conditions suitable for these timekeeper instruments, and study the microtiming profiles' dependency on genre and performer, illustrating promising aspects of this technique towards a more comprehensive understanding of these music traditions. © 2020 International Society for Music Information Retrieval. All rights reserved."
"Pacha A.; Calvo-Zaragoza J.; Hajič J., Jr.",Learning notation graph construction for full-pipeline optical music recognition,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087094788&partnerID=40&md5=8af972845e0918cb776d970ee03c2b19,"Pacha A., Institute of Information Systems Engineering, TU Wien, Austria; Calvo-Zaragoza J., Pattern Recognition and Artificial Intelligence Group, University of Alicante, Spain; Hajič J., Jr., Institute of Formal and Applied Linguistics, Charles University, Prague, Czech Republic","Optical Music Recognition (OMR) promises great benefits to Music Information Retrieval by reducing the costs of making sheet music available in a symbolic format. Recent advances in deep learning have turned typical OMR obstacles into clearly solvable problems, especially the stages that visually process the input image, such as staff line removal or detection of music-notation objects. However, merely detecting objects is not enough for retrieving the actual content, as music notation is a configurational writing system where the semantic of a primitive is defined by its relationship to other primitives. Thus, OMR systems must employ a notation assembly stage to infer such relationships among the detected objects. So far, this stage has been addressed by devising a set of predefined rules or grammars, which hardly generalize well. In this work, we formulate the notation assembly stage from a set of detected primitives as a machine learning problem. Our notation assembly is modeled as a graph that stores syntactic relationships among primitives, which allows us to capture the configuration of symbols in a music-notation document. Our results over the handwritten sheet music corpus MUSCIMA++ show 95.2% precision, 96.0% recall, and an F-score of 95.6% in establishing the correct syntactic relationships. When inferring relationships on data from a music object detector, the model achieves 93.2% precision, 91.5% recall and an F-score of 92.3%. © 2020 International Society for Music Information Retrieval. All rights reserved."
Jeong D.; Kwon T.; Kim Y.; Lee K.; Nam J.,VirtuosoNet: A hierarchical RNN-based system for modeling expressive piano performance,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087094425&partnerID=40&md5=013edc9262b5bd28d6984412396f5b45,"Jeong D., Graduate School of Culture Technology, KAIST, South Korea; Kwon T., Graduate School of Culture Technology, KAIST, South Korea; Kim Y., Graduate School of Culture Technology, KAIST, South Korea; Lee K., Graduate School of Convergence Science and Technology, Seoul National University, South Korea; Nam J., Graduate School of Culture Technology, KAIST, South Korea","In this paper, we present our application of deep neural network to modeling piano performance, which imitates the expressive control of tempo, dynamics, articulations and pedaling from pianists. Our model consists of recurrent neural networks with hierarchical attention and conditional variational autoencoder. The model takes a sequence of note-level score features extracted from MusicXML as input and predicts piano performance features of the corresponding notes. To render musical expressions consistently over long-term sections, we first predict tempo and dynamics in measure-level and, based on the result, refine them in note-level. The evaluation through listening test shows that our model achieves a more human-like expressiveness compared to previous models.We also share the dataset we used for the experiment. © 2020 International Society for Music Information Retrieval. All rights reserved."
Simonetta F.; Cancino-Chacón C.; Ntalampiras S.; Widmer G.,A convolutional approach to melody line identification in symbolic scores,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087094302&partnerID=40&md5=fe9cb282d4f2a655c9da74e7947c2b7d,"Simonetta F., Music Informatics Laboratory, Dept. of Computer Science, University of Milano, Italy; Cancino-Chacón C., Austrian Research Institute for Artificial Intelligence, Vienna, Austria; Ntalampiras S., Music Informatics Laboratory, Dept. of Computer Science, University of Milano, Italy; Widmer G., Austrian Research Institute for Artificial Intelligence, Vienna, Austria, Dept. of Computational Perception, Johannes Kepler University Linz, Austria","In many musical traditions, the melody line is of primary significance in a piece. Human listeners can readily distinguish melodies from accompaniment; however, making this distinction given only the written score - i.e. without listening to the music performed - can be a difficult task. Solving this task is of great importance for both Music Information Retrieval and musicological applications. In this paper, we propose an automated approach to identifying the most salient melody line in a symbolic score. The backbone of the method consists of a convolutional neural network (CNN) estimating the probability that each note in the score (more precisely: each pixel in a piano roll encoding of the score) belongs to the melody line. We train and evaluate the method on various datasets, using manual annotations where available and solo instrument parts where not. We also propose a method to inspect the CNN and to analyze the influence exerted by notes on the prediction of other notes; this method can be applied whenever the output of a neural network has the same size as the input. © Federico Simonetta, Carlos Cancino-Chacón, Stavros Ntalampiras, Gerhard Widmer."
Lemaire Q.; Holzapfel A.,Temporal convolutional networks for speech and music detection in radio broadcast,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087097259&partnerID=40&md5=7d9a242103c9a6d5f2e5bfc4dbee0169,"Lemaire Q., KTH Royal Institute of Technology, Sweden; Holzapfel A., KTH Royal Institute of Technology, Sweden","The task of speech and music detection aims at the automatic annotation of potentially overlapping speech and music segments in audio recordings. This metadata extraction process finds important applications in royalty collection for broadcast audio. This study focuses on deep neural network architectures made to process sequential data, and a series of recent architectures that have not yet been applied for this task are evaluated, extended and compared with a state-of-the-art architecture. Moreover, different training strategies are evaluated, and we demonstrate the advantages of a pre-training procedure with lowquality data that facilitates the combination of heterogeneous datasets. The study shows that Temporal Convolution Network (TCN) architectures can outperform state-ofthe- art architectures. In specific, the novel non-causal TCN extension introduced in this paper leads to a significant improvement of the accuracy. © 2020 International Society for Music Information Retrieval. All rights reserved."
Porcaro L.; Gomez E.,20 years of playlists: A statistical analysis on popularity and diversity,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087095993&partnerID=40&md5=0acf8bbe0234f13efc0a0701918b4055,"Porcaro L., Music Technology Group, Universitat Pompeu Fabra, Barcelona, Spain; Gomez E., Music Technology Group, Universitat Pompeu Fabra, Barcelona, Spain, Joint Research Centre, European Commission, Seville, Spain","Grouping songs together, according to music preferences, mood or other characteristics, is an activity which reflects personal listening behaviours and tastes. In the last two decades, due to the increasing size of music catalogue accessible and to improvements of recommendation algorithms, people have been exposed to new ways for creating playlists. In this work, through the statistical analysis of more than 400K playlists from four datasets, created in different temporal and technological contexts, we aim to understand if it is possible to extract information about the evolution of humans strategies for playlist creation. We focus our analysis on two driving concepts of the Music Information Retrieval literature: popularity and diversity. © 2020 International Society for Music Information Retrieval. All rights reserved."
Hantrakul L.; Engel J.; Roberts A.; Gu C.,Fast and flexible neural audio synthesis,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087095752&partnerID=40&md5=a1db328ccd3fb2ec15d70d83c883123d,"Hantrakul L., Google Brain, United States; Engel J., Google Brain, United States; Roberts A., Google Brain, United States; Gu C., Google DeepMind, United Kingdom","Autoregressive neural networks, such as WaveNet, have opened up new avenues for expressive audio synthesis. High-quality speech synthesis utilizes detailed linguistic features for conditioning, but comparable levels of control have yet to be realized for neural synthesis of musical instruments. Here, we demonstrate an autoregressive model capable of synthesizing realistic audio that closely follows fine-scale temporal conditioning for loudness and fundamental frequency. We find the appropriate choice of conditioning features and architectures improves both the quantitative accuracy of audio resynthesis and qualitative responsiveness to creative manipulation of conditioning. While large autoregressive models generate audio much slower than real-time, we achieve these results with a more efficient WaveRNN model, opening the door for exploring real-time interactive audio synthesis with neural networks. © Lamtharn Hantrakul, Jesse Engel, Adam Roberts, Chenjie Gu."
Ju Y.; Howes S.; McKay C.; Condit-Schultz N.; Calvo-Zaragoza J.; Fujinaga I.,An interactive workflow for generating chord labels for homorhythmic music in symbolic formats,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087095631&partnerID=40&md5=f2693b813dd34d06da8d5f307524613f,"Ju Y., Schulich School of Music, McGill University, Canada; Howes S., Schulich School of Music, McGill University, Canada; McKay C., Department of Liberal and Creative Arts, Marianopolis College, Canada; Condit-Schultz N., School of Music, Georgia Institute of Technology, United States; Calvo-Zaragoza J., Department of Software and Computing Systems, University of Alicante, Spain; Fujinaga I., Schulich School of Music, McGill University, Canada","Automatic harmonic analysis is challenging: rule-based models cannot account for every possible edge case, and manual annotation is expensive and sometimes inconsistent, undermining the training and evaluation of machine learning models. We present an interactive workflow to address these problems, and test it on Bach chorales. First, a rule-based model was used to generate preliminary, consistent chord labels in order to pre-train three machine learning models. These four models were grouped into an ensemble that generated chord labels by voting, achieving 91.4% accuracy on a reserved test set. A domain expert then corrected only those chords that the ensemble did not agree on unanimously (20.9% of the generated labels). Finally, we used these corrected annotations to re-train the machine learning models, and the resulting ensemble attained an accuracy of 93.5% on the reserved test set, a 24.4% reduction in the number of errors. This versatile interactive workflow can either work in a fully automatic way, or can capitalize on relatively minimal human involvement to generate higher-quality chord labels. It combines the consistency of rule-based models with the nuance of manual analysis to generate relatively inexpensive highquality ground truth for training effective machine learning models. © 2020 International Society for Music Information Retrieval. All rights reserved."
Elowsson A.; Friberg A.,Modeling music modality with a key-class invariant pitch chroma CNN,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087094660&partnerID=40&md5=bb2e1c454563d0dce9e0e0fc2be0e673,"Elowsson A., KTH Royal Institute of Technology, Sweden; Friberg A., KTH Royal Institute of Technology, Sweden","This paper presents a convolutional neural network (CNN) that uses input from a polyphonic pitch estimation system to predict perceived minor/major modality in music audio. The pitch activation input is structured to allow the first CNN layer to compute two pitch chromas focused on different octaves. The following layers perform harmony analysis across chroma and time scales. Through max pooling across pitch, the CNN becomes invariant with regards to the key class (i.e., key disregarding mode) of the music. A multilayer perceptron combines the modality activation output with spectral features for the final prediction. The study uses a dataset of 203 excerpts rated by around 20 listeners each, a small challenging data size requiring a carefully designed parameter sharing. With an R2 of about 0.71, the system clearly outperforms previous systems as well as individual human listeners. A final ablation study highlights the importance of using pitch activations processed across longer time scales, and using pooling to facilitate invariance with regards to the key class. © 2020 International Society for Music Information Retrieval. All rights reserved."
Driedger J.; Schreiber H.; De Haas W.B.; Müller M.,Towards automatically correcting tapped beat annotations for music recordings,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087096560&partnerID=40&md5=e370b71974d44c23a2f7244b7520abbb,"Driedger J., Chordify; Schreiber H., International Audio Laboratories Erlangen; De Haas W.B., Chordify; Müller M., International Audio Laboratories Erlangen","A common method to create beat annotations for music recordings is to let a human annotator tap along with them. However, this method is problematic due to the limited human ability to temporally align taps with audio cues for beats accurately. In order to create accurate beat annotations, it is therefore typically necessary to manually correct the recorded taps in a subsequent step, which is a cumbersome task. In this work we aim to automate this correction step by ""snapping"" the taps to close-by audio cues-a strategy that is often used by beat tracking algorithms to refine their beat estimates. The main contributions of this paper can be summarized as follows. First, we formalize the automated correction procedure mathematically. Second, we introduce a novel visualization method that serves as a tool to analyze the results of the correction procedure for potential errors. Third, we present a new dataset consisting of beat annotations for 101 music recordings. Fourth, we use this dataset to perform a listening experiment as well as a quantitative study to show the effectiveness of our snapping procedure. © 2020 International Society for Music Information Retrieval. All rights reserved."
Feisthauer L.; Bigo L.; Giraud M.,Modeling and learning structural breaks in sonata forms,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087095081&partnerID=40&md5=54f7f988d552cf026762670e856e057e,"Feisthauer L., CRIStAL, UMR 9189, CNRS, Université de Lille, France; Bigo L., CRIStAL, UMR 9189, CNRS, Université de Lille, France; Giraud M., CRIStAL, UMR 9189, CNRS, Université de Lille, France","Expositions of Sonata Forms are structured towards two cadential goals, one being the Medial Caesura (MC). The MC is a gap in the musical texture between the Transition zone (TR) and the Secondary thematic zone (S). It appears as a climax of energy accumulation initiated by the TR, dividing the Exposition in two parts. We introduce highlevel features relevant to formalize this energy gain and to identify MCs. These features concern rhythmic, harmonic and textural aspects of the music and characterize either the MC, its preparation or the texture contrast between TR and S. They are used to train a LSTM neural network on a corpus of 27 movements of string quartets written by Mozart. The model correctly locates the MCs on 14 movements within a leave-one-piece-out validation strategy. We discuss these results and how the network manages to model such structural breaks. © 2020 International Society for Music Information Retrieval. All rights reserved."
