,Authors,Titles,Year,Link,Authors with affiliations,Author Keywords
14,Mirco Pezzoli; Raffaele Malvermi; Fabio Antonacci; Augusto Sarti ,Similarity Evaluation of Violin Directivity Patterns for Musical Instrument Retrieval,2023,http://ismir2023program.ismir.net/poster_174.html,"Mirco Pezzoli, Politecnicno di Milano; Raffaele Malvermi, Politecnico di Milano; Fabio Antonacci, Politecnico di Milano; Augusto Sarti , Politecnico di Milano",MIR and machine learning for musical acoustics; pattern matching and detection; similarity metrics; applications of musical acoustics to signal synthesis
15,George Sioros ,Polyrhythmic Modelling of Non-Isochronous and Microtiming Patterns,2023,http://ismir2023program.ismir.net/poster_82.html,"George Sioros , University of Plymouth","music generation; rhythm, beat, tempo; symbolic music processing; music signal processing; Computational musicology; mathematical music theory"
16,Shangda Wu; Dingyao Yu; Xu Tan; Maosong Sun ,CLaMP: Contrastive Language-Music Pre-Training for Cross-Modal Symbolic Music Information Retrieval,2023,http://ismir2023program.ismir.net/poster_91.html,"Shangda Wu, Central Conservatory of Music; Dingyao Yu, Peking University; Xu Tan, Microsoft Research Asia; Maosong Sun , Tsinghua University",automatic classification; symbolic music processing; novel datasets and use cases; indexing and querying; multimodality; music retrieval systems
17,Luca Marinelli; George Fazekas; Charalampos Saitis ,Gender-Coded Sound: Analysing the Gendering of Music in Toy Commercials via Multi-Task Learning,2023,http://ismir2023program.ismir.net/poster_238.html,"Luca Marinelli, Queen Mary University of London; George Fazekas, QMUL; Charalampos Saitis , Queen Mary University of London","novel datasets and use cases; automatic classification; computational music theory and musicology; musical affect, emotion and mood; business and marketing"
18,Li-Yang Tseng; Tzu-Ling Lin; Hong-Han Shuai; JEN-WEI HUANG; Wen-Whei Chang ,A Dataset and Baselines for Measuring and Predicting the Music Piece Memorability,2023,http://ismir2023program.ismir.net/poster_56.html,"Li-Yang Tseng, National Yang Ming Chiao Tung University; Tzu-Ling Lin, National Yang Ming Chiao Tung University; Hong-Han Shuai, National Yang Ming Chiao Tung University; JEN-WEI HUANG, NYCU; Wen-Whei Chang , National Yang Ming Chiao Tung University",novel datasets and use cases; applications of machine learning to musical acoustics
19,Carlos Peñarrubia; Carlos Garrido-Munoz; Jose J. Valero-Mas; Jorge Calvo-Zaragoza ,Efficient Notation Assembly in Optical Music Recognition,2023,http://ismir2023program.ismir.net/poster_38.html,"Carlos Peñarrubia, Universidad de Alicante; Carlos Garrido-Munoz, University of Alicante; Jose J. Valero-Mas, Universitat Pompeu Fabra; Jorge Calvo-Zaragoza , University of Alicante",optical music recognition
20,Yuting Yang; Zeyu Jin; Adam Finkelstein; Connelly Barnes ,White Box Search Over Audio Synthesizer Parameters,2023,http://ismir2023program.ismir.net/poster_59.html,"Yuting Yang, Princeton University; Zeyu Jin, Adobe Research; Adam Finkelstein, Princeton University; Connelly Barnes , Adobe Research","music composition, performance, and production; applications of machine learning to musical acoustics; MIR and machine learning for musical acoustics; applications of musical acoustics to signal synthesis; music signal processing"
21,"Vincent K.M. Cheung; Lana Okuma; Kazuhisa Shibata; Kosetsu Tsukuda ), Masataka Goto ), Shinichi Furuya ","Decoding Drums, Instrumentals, Vocals, and Mixed Sources in Music Using Human Brain Activity With fMRI",2023,http://ismir2023program.ismir.net/poster_63.html,"Vincent K.M. Cheung, Sony Computer Science Laboratories, Inc.; Lana Okuma, RIKEN; Kazuhisa Shibata, RIKEN; Kosetsu Tsukuda ), Masataka Goto ), Shinichi Furuya , National Institute of Advanced Industrial Science and Technology AIST","user behavior analysis and mining, user modeling; cognitive MIR; human-computer interaction; user-centered evaluation"
22,Liyue Zhang; Xinyu Yang; Yichi Zhang; Jing Luo ,Dual Attention-Based Multi-Scale Feature Fusion Approach for Dynamic Music Emotion Recognition,2023,http://ismir2023program.ismir.net/poster_68.html,"Liyue Zhang,  Xi’an Jiaotong University; Xinyu Yang, Xi'an Jiaotong University; Yichi Zhang, Xi'an Jiaotong University; Jing Luo , Xi'an Jiaotong University","automatic classification; musical affect, emotion and mood; music signal processing"
23,Keisuke Toyama; Taketo Akama; Yukara Ikemiya; Yuhta Takida; WeiHsiang Liao; Yuki Mitsufuji ,Automatic Piano Transcription With Hierarchical Frequency-Time Transformer,2023,http://ismir2023program.ismir.net/poster_72.html,"Keisuke Toyama, Sony Group Corporation; Taketo Akama, Sony CSL; Yukara Ikemiya, Sony Research; Yuhta Takida, Sony Group Corporation; WeiHsiang Liao, Sony Group Corporation; Yuki Mitsufuji , Sony Group Corporation",music transcription and annotation
24,Nazif Can Tamer; Yigitcan Özer; Meinard Müller; Xavier Serra ,High-Resolution Violin Transcription Using Weak Labels,2023,http://ismir2023program.ismir.net/poster_223.html,"Nazif Can Tamer, Universitat Pompeu Fabra; Yigitcan Özer, International Audio Laboratories Erlangen; Meinard Müller, International Audio Laboratories Erlangen; Xavier Serra , Universitat Pompeu Fabra ","alignment, synchronization, and score following; representations of music; machine learning/artificial intelligence for music; music signal processing; expression and performative aspects of music; music transcription and annotation"
25,Lejun Min; Junyan Jiang; Gus Xia; Jingwei Zhao ,Polyffusion: A Diffusion Model for Polyphonic Score Generation With Internal and External Controls,2023,http://ismir2023program.ismir.net/poster_51.html,"Lejun Min, Shanghai Jiao Tong University; Junyan Jiang, New York University Shanghai; Gus Xia, New York University Shanghai; Jingwei Zhao , National University of Singapore",symbolic music processing; machine learning/artificial intelligence for music; music generation; representations of music
26,Claire Arthur; Nathaniel Condit-Schultz ,The Coordinated Corpus of Popular Musics (CoCoPops): A Meta-Dataset of Melodic and Harmonic Transcriptions,2023,http://ismir2023program.ismir.net/poster_104.html,"Claire Arthur, Georgia Institute of Technology; Nathaniel Condit-Schultz , Georgia Institute of Technology","cognitive MIR; digital musicology; melody and motives; novel datasets and use cases; systematic musicology; harmony, chords and tonality"
27,Anja Volk; Tinka Veldhuis; Katrien Foubert; Jos De Backer ,Towards Computational Music Analysis for Music Therapy,2023,http://ismir2023program.ismir.net/poster_153.html,"Anja Volk, Utrecht University; Tinka Veldhuis, Utrecht University; Katrien Foubert, LUCA School of Arts; Jos De Backer , LUCA School of Arts","music and health, well-being and therapy; Applications"
28,Luca Comanducci; Fabio Antonacci; Augusto Sarti ,Timbre Transfer Using Image-to-Image Denoising Diffusion Implicit Models,2023,http://ismir2023program.ismir.net/poster_197.html,"Luca Comanducci, Politecnico di Milano; Fabio Antonacci, Politecnico di Milano; Augusto Sarti , Politecnico di Milano","music synthesis and transformation; timbre, instrumentation, and singing voice"
29,Neha Rajagopalan; Blair Kaneshiro ,Correlation of EEG Responses Reflects Structural Similarity of Choruses in Popular Music,2023,http://ismir2023program.ismir.net/poster_259.html,"Neha Rajagopalan, Stanford University; Blair Kaneshiro , Stanford University","multimodality; structure, segmentation, and form; Human-centered MIR; cognitive MIR"
30,Mark R H Gotham ,Chromatic Chords in Theory and Practice,2023,http://ismir2023program.ismir.net/poster_46.html,"Mark R H Gotham , Durham","rhythm, beat, tempo; computational music theory and musicology; digital musicology; systematic musicology; harmony, chords and tonality; mathematical music theory"
31,YO-WEI HSIAO; TZU-YUN Hung; Tsung-Ping Chen; Li Su ,BPS-Motif: A Dataset for Repeated Pattern Discovery of Polyphonic Symbolic Music,2023,http://ismir2023program.ismir.net/poster_145.html,"YO-WEI HSIAO, Academia Sinica; TZU-YUN Hung, National Taiwan Normal University; Tsung-Ping Chen, Academia Sinica; Li Su , Academia Sinica",pattern matching and detection; symbolic music processing
32,Michael Krause; Sebastian Strahl; Meinard Müller ,Weakly Supervised Multi-Pitch Estimation Using Cross-Version Alignment,2023,http://ismir2023program.ismir.net/poster_81.html,"Michael Krause, International Audio Laboratories Erlangen; Sebastian Strahl, Friedrich-Alexander-Universität Erlangen-Nürnberg; Meinard Müller , International Audio Laboratories Erlangen","alignment, synchronization, and score following; machine learning/artificial intelligence for music; music transcription and annotation; representations of music"
33,Patricia Hu; Gerhard Widmer ,The Batik-Plays-Mozart Corpus: Linking Performance to Score to Musicological Annotations,2023,http://ismir2023program.ismir.net/poster_92.html,"Patricia Hu, Johannes Kepler University; Gerhard Widmer , Johannes Kepler University","Evaluation, datasets, and reproducibility; symbolic music processing; reproducibility; expression and performative aspects of music; annotation protocols"
34,Joan Serra; Davide Scaini; Santiago Pascual; Daniel Arteaga; Jordi Pons; Jeroen Breebaart; Giulio Cengarle ,Mono-to-Stereo Through Parametric Stereo Generation,2023,http://ismir2023program.ismir.net/poster_100.html,"Joan Serra, Dolby Laboratories; Davide Scaini, Dolby Laboratories; Santiago Pascual, Dolby Laboratories; Daniel Arteaga, Dolby Laboratories; Jordi Pons, Dolby Laboratories; Jeroen Breebaart, Dolby Laboratories; Giulio Cengarle , Dolby Laboratories",music synthesis and transformation; music signal processing; applications of machine learning to musical acoustics; music generation
35,Charilaos Papaioannou; Emmanouil Benetos; Alexandros Potamianos ,From West to East: Who Can Understand the Music of the Others Better?,2023,http://ismir2023program.ismir.net/poster_101.html,"Charilaos Papaioannou, School of ECE, National Technical University of Athens; Emmanouil Benetos, Queen Mary University of London; Alexandros Potamianos , National Technical University of Athens",music signal processing; machine learning/artificial intelligence for music; computational ethnomusicology; automatic classification
36,Juan Carlos Martinez-Sevilla; Adrián Roselló; David Rizo; Jorge Calvo-Zaragoza ,On the Performance of Optical Music Recognition in the Absence of Specific Training Data,2023,http://ismir2023program.ismir.net/poster_85.html,"Juan Carlos Martinez-Sevilla, University of Alicante; Adrián Roselló, Universidad de Alicante; David Rizo, Universidad de Alicante; Jorge Calvo-Zaragoza , University of Alicante",annotation protocols; evaluation methodology; music retrieval systems; optical music recognition; machine learning/artificial intelligence for music
37,Martin E Malandro ,Composer's Assistant: An Interactive Transformer for Multi-Track MIDI Infilling,2023,http://ismir2023program.ismir.net/poster_113.html,"Martin E Malandro , Sam Houston State University",symbolic music processing; machine learning/artificial intelligence for music; human-computer interaction; music generation
38,Ethan Lustig; David Temperley ,"The FAV Corpus: An Audio Dataset of Favorite Pieces and Excerpts, With Formal Analyses and Music Theory Descriptors",2023,http://ismir2023program.ismir.net/poster_114.html,"Ethan Lustig, Ethan Lustig; David Temperley , Eastman School of Music","personalization; representations of music; user-centered evaluation; musical affect, emotion and mood; cognitive MIR"
39,Le Zhuo; Ruibin Yuan; Jiahao Pan; Yinghao MA; Yizhi Li; Ge Zhang; Si Liu; Roger B. Dannenberg; Jie Fu; Chenghua Lin; Emmanouil Benetos; Wenhu Chen; Wei Xue; Yike Guo ,LyricWhiz: Robust Multilingual Lyrics Transcription by Whispering to ChatGPT,2023,http://ismir2023program.ismir.net/poster_117.html,"Le Zhuo, Beihang University; Ruibin Yuan, CMU; Jiahao Pan, HKBU; Yinghao MA, Queen Mary University of London; Yizhi Li, The University  of Sheffield; Ge Zhang, University of Michigan; Si Liu, Beihang University; Roger B. Dannenberg, School of Computer Science, Carnegie Mellon University; Jie Fu, BAAI; Chenghua Lin, University of Sheffield; Emmanouil Benetos, Queen Mary University of London; Wenhu Chen, University of Waterloo; Wei Xue, HKUST; Yike Guo , Hong Kong University of Science and Technology",lyrics and other textual data; annotation protocols; novel datasets and use cases
40,Alia Morsi; Kana Tatsumi; Akira Maezawa; Takuya Fujishima; Xavier Serra ,Sounds Out of Pläce? Score Independent Detection of Conspicuous Mistakes in Piano Performances,2023,http://ismir2023program.ismir.net/poster_118.html,"Alia Morsi, Universitat Pompeu Fabra; Kana Tatsumi, Nagoya Institute of Technology; Akira Maezawa, Yamaha Corporation; Takuya Fujishima, Yamaha Corporation; Xavier Serra , Universitat Pompeu Fabra ",novel datasets and use cases; automatic classification; music training and education; expression and performative aspects of music; machine learning/artificial intelligence for music; annotation protocols
41,Hugo F  Flores Garcia; Prem Seetharaman; Rithesh Kumar; Bryan Pardo ,VampNet: Music Generation via Masked Acoustic Token Modeling,2023,http://ismir2023program.ismir.net/poster_125.html,"Hugo F  Flores Garcia, Northwestern University; Prem Seetharaman, Northwestern University; Rithesh Kumar, Descript; Bryan Pardo , Northwestern University","music synthesis and transformation; music generation; music composition, performance, and production; machine learning/artificial intelligence for music"
42,Yucong Jiang ,Expert and Novice Evaluations of Piano Performances: Criteria for Computer-Aided Feedback,2023,http://ismir2023program.ismir.net/poster_129.html,"Yucong Jiang , University of Richmond","alignment, synchronization, and score following; lyrics and other textual data; music training and education; music interfaces and services; music signal processing; expression and performative aspects of music"
43,Andres Ferraro; Jaehun Kim; Andreas Ehmann; Sergio Oramas; Fabien Gouyon ,Contrastive Learning for Cross-Modal Artist Retrieval,2023,http://ismir2023program.ismir.net/poster_147.html,"Andres Ferraro, Pandora/SiriusXM; Jaehun Kim, Pandora / SiriusXM; Andreas Ehmann, Pandora; Sergio Oramas, Pandora/SiriusXM; Fabien Gouyon , Pandora/SiriusXM",representations of music; music recommendation and playlist generation; similarity metrics; multimodality; music retrieval systems
44,Christoph Finkensiep; Matthieu Haeberle; Friedrich Eisenbrand; Markus Neuwirth; Martin A Rohrmeier ,Repetition-Structure Inference With Formal Prototypes,2023,http://ismir2023program.ismir.net/poster_139.html,"Christoph Finkensiep, EPFL; Matthieu Haeberle, EPFL; Friedrich Eisenbrand, EPFL; Markus Neuwirth, Anton Bruckner Privatuniversität Linz; Martin A Rohrmeier , Ecole Polytechnique Fédérale de Lausanne","symbolic music processing; structure, segmentation, and form; computational music theory and musicology; Computational musicology; mathematical music theory"
45,Peter Van Kranenburg; Eoin J Kearns ,Algorithmic Harmonization of Tonal Melodies Using Weighted Pitch Context Vectors,2023,http://ismir2023program.ismir.net/poster_140.html,"Peter Van Kranenburg, Utrecht University, Meertens Institute; Eoin J Kearns , Meertens Instituut","music generation; melody and motives; digital musicology; computational music theory and musicology; computational ethnomusicology; harmony, chords and tonality"
46,"Kento Watanabe ), Masataka Goto )",Text-to-Lyrics Generation With Image-Based Semantics and Reduced Risk of Plagiarism,2023,http://ismir2023program.ismir.net/poster_142.html,"Kento Watanabe ), Masataka Goto ), National Institute of Advanced Industrial Science and Technology AIST","lyrics and other textual data; multimodality; web mining, and natural language processing"
47,Seungheon Doh; Keunwoo Choi; Jongpil Lee; Juhan Nam ,LP-MusicCaps: LLM-Based Pseudo Music Captioning,2023,http://ismir2023program.ismir.net/poster_219.html,"Seungheon Doh, KAIST; Keunwoo Choi, Gaudio Lab, Inc.; Jongpil Lee, Neutune; Juhan Nam , KAIST","metadata, tags, linked data, and semantic web; multimodality; automatic classification"
48,Morgan Buisson; Brian McFee; Slim Essid; Helene-Camille Crayencour ,A Repetition-Based Triplet Mining Approach for Music Segmentation,2023,http://ismir2023program.ismir.net/poster_146.html,"Morgan Buisson, Telecom-Paris; Brian McFee, New York University; Slim Essid, Telecom Paris - Institut Polytechnique de Paris; Helene-Camille Crayencour , CNRS","pattern matching and detection; representations of music; structure, segmentation, and form; representations of music; machine learning/artificial intelligence for music"
49,Francesco Foscarin; Daniel Harasim; Gerhard Widmer ,Predicting Music Hierarchies With a Graph-Based Neural Decoder,2023,http://ismir2023program.ismir.net/poster_87.html,"Francesco Foscarin, Johannes Kepler University Linz; Daniel Harasim, École Polytechnique Fédérale de Lausanne; Gerhard Widmer , Johannes Kepler University","symbolic music processing; structure, segmentation, and form; digital musicology; melody and motives; harmony, chords and tonality"
50,Johannes Zeitler; Simon Deniffel; Michael Krause; Meinard Müller ,Stabilizing Training With Soft Dynamic Time Warping: A Case Study for Pitch Class Estimation With Weakly Aligned Targets,2023,http://ismir2023program.ismir.net/poster_133.html,"Johannes Zeitler, International Audio Laboratories Erlangen; Simon Deniffel, International Audio Laboratories Erlangen; Michael Krause, International Audio Laboratories Erlangen; Meinard Müller , International Audio Laboratories Erlangen","alignment, synchronization, and score following; machine learning/artificial intelligence for music; music transcription and annotation"
51,Danbinaerin Han; Rafael Caro Repetto; Dasaem Jeong ,Finding Tori: Self-Supervised Learning for Analyzing Korean Folk Song,2023,http://ismir2023program.ismir.net/poster_149.html,"Danbinaerin Han, Sogang Univ.; Rafael Caro Repetto, Kunstuniversität Graz; Dasaem Jeong , Sogang University",melody and motives; computational ethnomusicology; machine learning/artificial intelligence for music; digital libraries and archives
52,Bernardo Torres; Stefan Lattner; Gaël Richard ,Singer Identity Representation Learning Using Self-Supervised Techniques,2023,http://ismir2023program.ismir.net/poster_204.html,"Bernardo Torres, Telecom Paris, Institut polytechnique de Paris; Stefan Lattner, Sony CSL; Gaël Richard , Telecom Paris, Institut polytechnique de Paris","music synthesis and transformation; representations of music; machine learning/artificial intelligence for music; timbre, instrumentation, and singing voice; similarity metrics; indexing and querying"
53,Yinghao MA; Ruibin Yuan; Yizhi Li; Ge Zhang; Chenghua Lin; Xingran Chen; Anton Ragni; Hanzhi Yin; Emmanouil Benetos; Norbert Gyenge; Ruibo Liu; Gus Xia; Roger B. Dannenberg; Yike Guo; Jie Fu ,On the Effectiveness of Speech Self-Supervised Learning for Music,2023,http://ismir2023program.ismir.net/poster_154.html,"Yinghao MA, Queen Mary University of London; Ruibin Yuan, CMU; Yizhi Li, The University  of Sheffield; Ge Zhang, University of Michigan; Chenghua Lin, University of Sheffield; Xingran Chen, University of Michigan; Anton Ragni, University of Sheffield; Hanzhi Yin, Carnegie Mellon University; Emmanouil Benetos, Queen Mary University of London; Norbert Gyenge, Sheffield University; Ruibo Liu, Dartmouth College; Gus Xia, New York University Shanghai; Roger B. Dannenberg, School of Computer Science, Carnegie Mellon University; Yike Guo, Hong Kong University of Science and Technology; Jie Fu , BAAI",representations of music; machine learning/artificial intelligence for music; representations of music
54,"Tian Cheng ), Masataka Goto )",Transformer-Based Beat Tracking With Low-Resolution Encoder and High-Resolution Decoder,2023,http://ismir2023program.ismir.net/poster_150.html,"Tian Cheng ), Masataka Goto ), National Institute of Advanced Industrial Science and Technology AIST","rhythm, beat, tempo"
55,Vanessa Nina Borsan; Mathieu Giraud; Richard Groult; Thierry Lecroq ,Adding Descriptors to Melodies Improves Pattern Matching: A Study on Slovenian Folk Songs,2023,http://ismir2023program.ismir.net/poster_156.html,"Vanessa Nina Borsan, Université de Lille; Mathieu Giraud, CNRS, Université de Lille; Richard Groult, Université de Rouen Normandie; Thierry Lecroq , Université de Rouen Normandie ",novel datasets and use cases; pattern matching and detection; symbolic music processing; melody and motives; Computational musicology; computational ethnomusicology
56,Karlijn Dinnissen; Christine Bauer ,How Control and Transparency for Users Could Improve Artist Fairness in Music Recommender Systems,2023,http://ismir2023program.ismir.net/poster_159.html,"Karlijn Dinnissen, Utrecht University; Christine Bauer , Paris Lodron University Salzburg",ethical issues related to designing and implementing MIR tools and technologies; Human-centered MIR; human-computer interaction; music interfaces and services
57,Ahyeon Choi; Eunsik Shin; Haesun Joung; Joongseek Lee; Kyogu Lee ,Towards a New Interface for Music Listening: A User Experience Study on YouTube,2023,http://ismir2023program.ismir.net/poster_165.html,"Ahyeon Choi, Seoul National University; Eunsik Shin, Seoul National University; Haesun Joung, Seoul National University; Joongseek Lee, Seoul National University; Kyogu Lee , Seoul National University","music videos, multimodal music systems; music interfaces and services; user behavior analysis and mining, user modeling; multimodality; human-computer interaction"
58,Xavier Riley; Simon Dixon ,FiloBass: A Dataset and Corpus Based Study of Jazz Basslines,2023,http://ismir2023program.ismir.net/poster_236.html,"Xavier Riley, C4DM; Simon Dixon , Queen Mary University of London",novel datasets and use cases; music transcription and annotation; digital musicology
59,Louis Couturier; Louis Bigo; Florence Leve ,Comparing Texture in Piano Scores,2023,http://ismir2023program.ismir.net/poster_170.html,"Louis Couturier, MIS, Université de Picardie Jules Verne; Louis Bigo, Université de Lille; Florence Leve , Université de Picardie Jules Verne - Lab. MIS - Algomus",symbolic music processing; similarity metrics; computational music theory and musicology;  Musical features and properties
60,Johannes Hentschel; Andrew McLeod; Yannis Rammos; Martin A Rohrmeier ,Introducing DiMCAT for Processing and Analyzing Notated Music on a Very Large Scale,2023,http://ismir2023program.ismir.net/poster_52.html,"Johannes Hentschel, École Polytechnique Fédérale de Lausanne; Andrew McLeod, Fraunhofer IDMT; Yannis Rammos, EPFL; Martin A Rohrmeier , Ecole Polytechnique Fédérale de Lausanne","representations of music; alignment, synchronization, and score following; digital musicology; computational music theory and musicology; digital libraries and archives; reproducibility"
61,Sehun Kim; Kazuya Takeda; Tomoki Toda ,Sequence-to-Sequence Network Training Methods for Automatic Guitar Transcription With Tokenized Outputs,2023,http://ismir2023program.ismir.net/poster_161.html,"Sehun Kim, Nagoya University; Kazuya Takeda, Nagoya University; Tomoki Toda , Nagoya University",music signal processing; machine learning/artificial intelligence for music; music transcription and annotation; symbolic music processing
62,Alain Riou; Stefan Lattner; Gaëtan Hadjeres; Geoffroy Peeters ,PESTO: Pitch Estimation With Self-Supervised Transposition-Equivariant Objective,2023,http://ismir2023program.ismir.net/poster_205.html,"Alain Riou, Télécom Paris, IP Paris, Sony CSL; Stefan Lattner, Sony CSL; Gaëtan Hadjeres, Sony CSL; Geoffroy Peeters , LTCI - Télécom Paris, IP Paris",music signal processing; machine learning/artificial intelligence for music; music transcription and annotation
63,Vanessa Nina Borsan; Mathieu Giraud; Richard Groult ,The Games We Play: Exploring the Impact of ISMIR on Musicology,2023,http://ismir2023program.ismir.net/poster_158.html,"Vanessa Nina Borsan, Université de Lille; Mathieu Giraud, CNRS, Université de Lille; Richard Groult , Université de Rouen Normandie",Computational musicology; Philosophical and ethical discussions; user-centered evaluation; human-computer interaction
64,Genís Plaja-Roglans; Marius Miron; Adithi Shankar; Xavier Serra ,Carnatic Singing Voice Separation Using Cold Diffusion on Training Data With Bleeding,2023,http://ismir2023program.ismir.net/poster_176.html,"Genís Plaja-Roglans, Music Technology Group; Marius Miron, Universitat Pompeu Fabra; Adithi Shankar, Universitat Pompeu Fabra; Xavier Serra , Universitat Pompeu Fabra ","timbre, instrumentation, and singing voice; computational ethnomusicology; sound source separation; machine learning/artificial intelligence for music"
65,"Kosetsu Tsukuda ), Tomoyasu Nakano ), Masahiro Hamasaki ), Masataka Goto )",Unveiling the Impact of Musical Factors in Judging a Song on First Listen: Insights From a User Survey,2023,http://ismir2023program.ismir.net/poster_179.html,"Kosetsu Tsukuda ), Tomoyasu Nakano ), Masahiro Hamasaki ), Masataka Goto ), National Institute of Advanced Industrial Science and Technology AIST",; Human-centered MIR
