Authors;Title;Year;Link;Abstract;Authors with Affiliations;aff_names;Affiliation type;Affiliation country;Western_flag;First Author Affiliation UN Category;UN Categories;dim_1;dim_2
"Youngmoo E. Kim;Wei Chai;Ricardo García;Barry Vercoe";Analysis of a Contour-based Representation for Melody.;2000;https://doi.org/10.5281/zenodo.1416760;Identifying a musical work from a melodic fragment is a task that most people are able to accomplish with relative ease. For some time now researchers have worked to give computers this ability as well, as it would be the cornerstone of any query-by-humming system. To accomplish this, it is reasonable to study how humans are able to perform this task, and to assess what features we use to determine melodic similarity. Research has shown that melodic contour is an important feature in determining melodic similarity, but it is also clear that rhythmic information is important as well. The goal of this research is to explore what variation of contour and rhythmic information can result in the most efficient, robust, and scalable representation for melody. We intend for this to be the basis of a query-by-humming system that will be used to test the validity of our proposed representation.;"Youngmoo E. Kim, MIT Media Lab, USA, education;Wei Chai, MIT Media Lab, USA, education;Ricardo Garcia, MIT Media Lab, USA, education;Barry Vercoe, MIT Media Lab, USA, education";MIT, MIT , MIT , MIT;education, education, education, education;USA, USA, USA, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;-15.145942;-17.242489
"Wei Chai;Barry Vercoe";Using User Models in Music Information Retrieval Systems.;2000;https://doi.org/10.5281/zenodo.1415898;Most websites providing music services only support category-based browsing and/or text-based searching. There has been some research to improve the interface either for pull applications, e.g. query-by-humming systems, or for push applications, e.g. collaborative-filtering-based or featurebased music recommendation systems. However, for content-based search or feature-based filtering systems, one important problem is to describe music by its parameters or features, so that search engines or information filtering agents can use them to measure the similarity of the target (userÕs query or preference) and the candidates. MPEG7 (formally called ÒMultimedia Content Description InterfaceÓ) is an international standard, which describes the multimedia content data to allow universal indexing, retrieval, filtering, control, and other activities supported by rich metadata. However, the metadata about the multimedia content itself are still insufficient, because many features of multimedia content are quite perceptual and user-dependent. For example, emotional features are very important for multimedia retrieval, but they are hard to be described by a universal model since different users may have different emotional responses to the same multimedia content. We therefore turn to user modeling techniques and representations to describe the properties of each user, so that the retrieval will be more accurate. Besides, user modeling can be used to reduce the search space, make push service easier and improve the user interface.;"Wei Chai, Massachusetts Institute of Technology, USA, education;Barry Vercoe, Massachusetts Institute of Technology, USA, education";MIT,MIT;education, education;USA, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies;-31.292583;15.094317
Arbee L. P. Chen;Music Representation, Indexing and Retrieval at NTHU.;2000;https://doi.org/10.5281/zenodo.1417981;In this extended abstract, our work on the representation, indexing and retrieval of music data is summarized. We treat the rhythm, melody, and chords of a music object as music features and develop various data structures and algorithms to efficiently perform approximate and partial matching for the retrieval of music data [Liu99a], [Chen98], [Chou96]. In [Chen00a], we present the techniques for retrieving songs by music segments. A music segment consists of a segment type and the associated beat and pitch information. We also propose multi-feature index structures for exact and approximate searching on different features [Lee00]. The problem of feature extraction is also studied. The repeating pattern is defined as a sequence of notes, which appears more than once in music objects. Choosing repeating patterns as the feature to represent the music objects meets both efficiency and semantic-richness requirements for content-based music data retrieval. We propose approaches to efficiently discover the repeating patterns of music objects in [Hsu98], [Liu99b]. We have also implemented Muse, a prototype system for content-based music data retrieval to illustrate the feasibility of the concepts we propose.;Arbee L.P. Chen, National Tsing Hua University, TWN, education;National Tsing Hua University;education;TWN;NOT_FOUND;Developing economies;Developing economies;-30.12185;8.99478
David Huron;Perceptual and Cognitive Applications in Music Information Retrieval.;2000;https://doi.org/10.5281/zenodo.1414794;"Music librarians and cataloguers have traditionally created indexes that allow users to access musical works using standard reference information, such as the name of the composer or the title of the work. While this basic information remains important, these standard reference tags have surprisingly limited applicability in most music-related queries. Music is used for an extraordinary variety of purposes: the restaurateur seeks music that targets a certain clientele; the aerobics instructor seeks a certain tempo; the ﬁlm director seeks music conveying a certain mood; an advertiser seeks a tune that is highly memorable; the physiotherapist seeks music that will motivate a patient; the truck driver seeks music that will keep him/her alert. Although there are many other uses for music, music’s preeminent functions are social and psychological. The most useful retrieval indexes are those that facilitate searching according to such social and psychological functions. Typically, such indexes will focus on stylistic, mood, and similarity information. In attempting to build such musical indexes, two general questions arise: (1) What is the best taxonomic system by which to classify moods, styles, and other musical characteristics? (2) How can we create automated systems that will reliably characterize recordings or scores? Internet-based music distribution has brought these two questions to the fore. In the case of proprietary musical databases, the second problem can be centrally managed, and perhaps addressed using manual methods. However, past experience with Internet access to text documents implies that non-proprietary decentralized indexing is likely to prove more popular and successful. That is, future music indexes will likely resemble web-wide search engines (like Infoseek or Google) rather than closed proprietary systems (like Beatscape or Encyclopedia Britannica). The problem of building musical web crawlers that traverse the web and index music-related ﬁles (such as MP3) should prove challenging. The enabling technology for such musical web crawlers will need to draw extensively on research in music perception and cognition. Consider two sample problems: music summarization and mood characterization.";David Huron, Ohio State University, USA, education;Ohio State University;education;USA;NOT_FOUND;Developed economies;Developed economies;-28.04015;17.259876
"Perry R. Cook;George Tzanetakis";Audio Information Retrieval (AIR) Tools.;2000;https://doi.org/10.5281/zenodo.1416716;Most of the work in music Information Retrieval (MIR) and analysis has been performed using symbolic representation like MIDI. The recent advances in computing power and network connectivity have made large amounts of raw digital audio data available in the form of unstructured monolithic sound files. In this work the focus is on tools that work directly on real world audio data without attempting to transcribe the music. To distinguish from symbolic−based music IR for the remainder of the paper we use the term audio IR (AIR) to refer to techniques that work directly on raw audio signals. Obviously these signals can contain music as well as other types of audio like speech. We describe a series of tools based on current and newly developed techniques for AIR integrated under MARSYAS, our framework for audio analysis. For related work refer to (Foote, 1999). The tools developed are based on Signal Processing, Pattern Recognition and Visualization techniques. Finally, due to the immature state of the available techniques and to the inherent complexity of the task it is important to take advantage of the human user in the system. We have developed two user interfaces to integrate and improve our techniques: an augmented sound editor and TimbreGrams a novel graphical representation for soundfiles. The previously unpublished contributions of this paper are the genre classification method, the segmentation−based retrieval and summarization, and the definition of the TimbreGram.;"George Tzanetakis, Princeton University, USA, education; Perry Cook, Princeton University, USA, education";Princeton University, Princeton University;education, education;USA, USA;NOT_FOUND;Developed economies;Developed economies, Developed economies;-45.9091;-1.0803385
"Anastasia Georgaki;Spyros Raptis;Stelios Bakamidis";A Music Interface for Visually Impaired People in the WEDELMUSIC Environment. Design and Architecture.;2000;https://doi.org/10.5281/zenodo.1417291;In this poster we present the architecture of a new music interface for blind musicians, integrated in the WEDELMUSIC1 environment which is under development at ILSP2. Our scope is to facilitate the access of visually impaired persons to musical databases (scores, audio and MIDI files) via Internet and give them the possibility to edit and create musical scores.;"Anastasia Georgaki, Institute for Language and Speech Processing, GRC, facility;Spyros Raptis, Institute for Language and Speech Processing, GRC, facility;Stelios Bakamidis, Institute for Language and Speech Processing, GRC, facility";R.C. Athena,R.C. Athena,R.C. Athena;facility, facility, facility;GRC, GRC, GRC;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-43.27228;14.167681
Michael Good;Representing Music Using XML.;2000;https://doi.org/10.5281/zenodo.1415032;Why does the world need another music representation language? Beyond MIDI describes over 20 different languages or musical codes (Selfridge-Field, 1997). Most commercial music programs have their own internal, proprietary music representation and file format. Music's complexity has led to this proliferation of languages and formats. Sequencers, notation programs, analysis tools, and retrieval tools all need musical information optimized in different ways. Yet no music interchange language has been widely adopted since MIDI. MIDI has contributed to enormous growth in the electronic music industry, but has many well-known limitations for notation, analysis, and retrieval. These include its lack of representation of musical concepts such as rests and enharmonic pitches (distinguishing Db from C#), as well as notation concepts such as stem direction and beaming. Other interchange formats such as NIFF and SMDL overcome these restrictions, but have not been widely adopted. Successful interchange formats such as MIDI and HTML share a common trait that NIFF and SMDL lack. MIDI and HTML skillfully balance simplicity and power. They are simple enough for many people to learn, and powerful enough for many real-world applications. The simplicity makes it easy for software developers to implement the standards and to develop encoding tools for musicians. This helps circumvent the “chicken-and-egg” problem with new formats. XML (Extensible Markup Language) is a World Wide Web Consortium (W3C) recommendation for representing structured data in text, designed for ease of usage over the Internet by a wide variety of applications. XML is a meta-markup language that lets designers and communities develop their own representation languages for different applications. Like HTML and MIDI, it balances simplicity and power in a way that has made it very attractive to software developers. The common base of XML technology lets developers of new languages focus on representation issues instead of low-level software development. All XML-based languages can be processed by a variety of XML tools available from multiple vendors. Since XML files are text files, users of XML files always have generic text-based tools available as a lowest common denominator. XML documents are represented in Unicode, providing support for international score exchange. MusicXML is an XML-based music interchange language. It represents common western musical notation from the 17th century onwards, including both classical and popular music. The language is designed to be extensible to future coverage of early music and less standard 20th and 21st century scores. Non-western musical notations would use a separate XML language. As an interchange language, it is designed to be sufficient, not optimal, for diverse musical applications. MusicXML is not intended to supersede other languages that are optimized for specific musical applications, but to support sharing of musical data between applications.;Michael Good, Recordare, USA, company;Recordare;company;USA;FOUND;Developed economies;Developed economies;-33.54167;-11.695323
"Alexandra L. Uitdenbogerd;Justin Zobel";Music Ranking Techniques Evaluated.;2000;https://doi.org/10.5281/zenodo.1414990;"Several techniques have been proposed for matching melody queries to stored music. In previous work [2], we found that local alignment, a technique derived from bioinformatics, was more effective than the n-gram methods derived from information retrieval that are used in other work. In this paper we explore a broader range of n-gram techniques, and test them with both manual queries and queries automatically extracted from MIDI files. Our experiments show that alternative indeed, simpler n-gram matching techniques than those tested in earlier work can be as effective as local alignment; one highly effective technique is to simply count the number of 5-grams in common between query and stored piece of music. N-grams are particularly effective for short queries and manual queries, while local alignment is superior for the automatic queries.";"Alexandra L. Uitdenbogerd, RMIT University, AUS, education;Justin Zobel, RMIT University, AUS, education";RMIT University, RMIT University;education, education;AUS, AUS;NOT_FOUND;Developed economies;Developed economies, Developed economies;-32.47229;11.1641
"Alexandra L. Uitdenbogerd;Abhijit Chattaraj;JustinZobel";Music IR: Past, Present, and Future.;2000;https://doi.org/10.5281/zenodo.1417545;Music Information Retrieval has a longer history than most people realise, with systems developed in the 1960's. The field has its roots in information retrieval, musicology and music psychology. Information retrieval has provided us with a framework for evaluating retrieval systems. Musicologists have applied various techniques to measure stylistic parameters of composers and general similarity of musical works. Music perception research has taught us that contour is the most important feature of melody for listeners (Dowling 1978). Precursors to computerised music IR are the incipit and theme indexes such as Barlow and Morganstern's dictionary of musical themes (Barlow and Morganstern 1948), however, on-line collections with incipit indexes were soon to follow (for example Hudson 1970).;"Alexandra L. Uitdenbogerd, RMIT University, AUS, education;Abhijit Chattaraj, RMIT University, AUS, education;Justin Zobel, RMIT University, AUS, education";RMIT University, RMIT University, RMIT University;education, education, education;AUS, AUS, AUS;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies;-46.6055;12.764062
Eleanor Selfridge-Field;What Motivates a Musical Query?.;2000;https://doi.org/10.5281/zenodo.1415970;There are three places we might look to establish a range of questions that might profitably be asked of musical-data searches. First, we might look at who might want to search musical data and why. Next, we might look at what has already been attempted, with a view to establishing what has worked (or not) and why. Third, we might look at how searches have been/are being carried out, with a view toward establishing the constraints that man-machine reciprocity impose on musical queries.;Eleanor Selfridge-Field, Stanford University, USA, education;Stanford University;education;USA;NOT_FOUND;Developed economies;Developed economies;-32.543053;20.806976
Mary Levering;Intellectual Property Rights in Musical Works: Overview, Digital Library Issues and Related Initiatives.;2000;https://doi.org/10.5281/zenodo.1416786;Our nation’s Founding Fathers incorporated copyright principles into the U.S. Constitution in order to foster the creation and dissemination of intellectual works for the public good.1 The federal copyright law supports these goals by permitting authors to reap rewards from their creative efforts for limited periods of time, while also benefitting subsequent creators by allowing them to use and build on prior works under certain circumstances. Thus, in order to stimulate originality and creativity, creators and owners of musical works are granted an exclusive bundle of rights in their copyrighted musical works for the enrichment of our society. Awareness of these rights is essential for all potential users, even for academics and scholars who wish to use these musical works for educational or other research purposes. Many musical works, especially those embodied in phonorecords, CD-ROMs and other audio-visual formats, have multiple layers of intellectual property rights involved.2 Scholars and institutions must respect these rights when digitizing, transmitting, retrieving or otherwise using copyrighted musical works in electronic formats. Even when underlying musical compositions are in the public domain, the version being used may include new copyrightable authorship that must be considered. Such authorship could include new arrangements, revised lyrics or music, other editorial revisions of the musical work itself, or—where the work is fixed as a series of sounds—it could include all or some new sounds, a remix of sounds, and so forth. Understanding concepts such as (1) the whole range of rightsholders’ exclusive rights in musical works,3 (2) the statutory limitations on these rights,4 including how the Fair Use 5 doctrine can be applied reasonably for educational and scholarly purposes, (3) when authorization is needed, (4) who the rightsholders are,6 and (5) how to secure required permissions efficiently and easily,7 have all become increasingly important;Mary Levering, U.S. Copyright Office, Library of Congress, USA, facility;U.S. Copyright Office Library of Congress;facility;USA;NOT_FOUND;Developed economies;Developed economies;-38.30771;13.760991
"Michael Clausen;R. Engelbrecht;D. Meyer;J. Schmitz";PROMS: A Web-based Tool for Searching in Polyphonic Music.;2000;https://doi.org/10.5281/zenodo.1417139;One major task of a digital music library (DML) is to provide techniques to locate a queried musical pattern in all pieces of music in the database containing that pattern. For a survey of several computational tasks related to this kind of data retrieval we refer to Crawford et al. [3]. Existing DMLs like MELDEX [1], Themeﬁnder [4], and the Sonoda-Muraoka-System [7] work with melody databases relying on score-like information. Retrieval and matching are performed in a fault-tolerant way by string-based methods which mainly take into account pitch information. Generally, rhythm plays only a subordinate role. The music dictionary of Barlow and Morgenstern [2] shows that music retrieval based on pitch information only leads to results with typically too many false matches. (An example of such absurd matches is given in Selfridge-Field [6], p. 27.) We are convinced that both pitch and rhythm are crucial for recognizing melodies. In the more general context of polyphonic music, one is even forced to consider pitch and rhythm information. PROMS, a web-based computer-music service under development at the University of Bonn, Germany, is part of the MiDiLiB project [5]. The aim of PROMS is to design and to implement PROcedures for Music Search. Our discussion will take place in a rather general setting: we assume that our database contains several kinds of music such as polyphonic and homophonic music as well as melodies. We also use score-like information. A query to the database is a fragment of a piece of music. This could be a melody or a certain ﬁgure of an accompaniment. The task is now to locate eﬃciently all occurences of this fragment in all pieces of music in the database.;"M. Clausen, Universität Bonn, DEU, education;R. Engelbrecht, Universität Bonn, DEU, education;D. Meyer, Universität Bonn, DEU, education;J. Schmitz, Universität Bonn, DEU, education";University of Bonn,University of Bonn,University of Bonn,University of Bonn;education, education, education, education;DEU, DEU, DEU, DEU;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;-21.02703;8.480531
"Eloi Batlle;Pedro Cano";Automatic Segmentation for Music Classification using Competitive Hidden Markov Models.;2000;https://doi.org/10.5281/zenodo.1416764;Music information retrieval has become a major topic in the last few years and we can find a wide range of applications that use it. For this reason, audio databases start growing in size as more and more digital audio resources have become available. However, the usefulness of an audio database relies not only on its size but also on its organization and structure. Therefore, much effort must be spent in the labeling process whose complexity grows with database size and diversity. In this paper we introduce a new audio classification tool and we use its properties to develop an automatic system to segment audio material in a fully unsupervised way. The audio segments obtained with this process are automatically labeled in a way that two segments with similar psychoacoustics properties get the same label. By doing so, the audio signal is automatically segmented into a sequence of abstract acoustic events. This is specially useful to classify huge multimedia databases where a human driven segmentation is not practicable. This automatic classification allow a fast indexing and retrieval of audio fragments. This audio segmentation is done using competitive hidden Markov models as the main classification engine and, thus, no previous classified or hand-labeled data is needed. This powerful classification tool also has a great flexibility and offers the possibility to customize the matching criterion as well as the average segment length according to the application needs.;"Eloi Batlle, Universitat Pompeu Fabra, ESP, education;Pedro Cano, Universitat Pompeu Fabra, ESP, education";Universitat Pompeu Fabra, Universitat Pompeu Fabra;education, education;ESP, ESP;NOT_FOUND;Developed economies;Developed economies, Developed economies;4.105404;10.301048
"Perfecto Herrera-Boyer;Xavier Amatriain;Eloi Batlle;Xavier Serra";Towards Instrument Segmentation for Music Content Description: a Critical Review of Instrument Classification Techniques.;2000;https://doi.org/10.5281/zenodo.1416768;A system capable of describing the musical content of any kind of sound file or sound stream, as it is supposed to be done in MPEG7-compliant applications, should provide an account of the different moments where a certain instrument can be listened to. In this paper we concentrate on reviewing the different techniques that have been so far proposed for automatic classification of musical instruments. As most of the techniques to be discussed are usable only in solo performances we will evaluate their applicability to the more complex case of describing sound mixes. We conclude this survey discussing the necessity of developing new strategies for classifying sound mixes without a priori separation of sound sources.;"Perfecto Herrera, Pompeu Fabra University, ESP, education;Xavier Amatriain, Pompeu Fabra University, ESP, education;Eloi Batlle, Pompeu Fabra University, ESP, education;Xavier Serra, Pompeu Fabra University, ESP, education";Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra, Universitat Pompeu Fabra;education, education, education, education;ESP, ESP, ESP, ESP;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies;28.384974;-29.870033
"Maxime Crochemore;Wojciech Rytter;Costas S. Iliopoulos;Yoan J. Pinzón";Finding Motifs with Gaps.;2000;https://doi.org/10.5281/zenodo.1415986;This paper focuses on a set of string pattern-matching problems that arise in musical analysis, and especially in musical information retrieval. A musical score can be viewed as a string: at a very rudimentary level, the alphabet could simply be the set of notes in the chromatic or diatonic notation, or the set of intervals that appear between notes (e.g. pitch may be represented as MIDI numbers and pitch intervals as number of semitones).;"Maxime Crochemore, Université de Marne-la-Vallée, FRA, education;Wojciech Rytter, Uniwersytet Warszawski, POL, education, University of Liverpool, GBR, education;Costas S. Iliopoulos, King's College London, GBR, education, Curtin University of Technology, AUS, education;Yoan J. Pinzon, King's College London, GBR, education, Curtin University of Technology, AUS, education";Université de Marne-la-Vallée, Uniwersytet Warszawski, University of Liverpool, King's College London, Curtin University of Technology, King's College London, Curtin University of Technology;education, education, education, education, education, education, education;FRA, POL, GBR, GBR, AUS, GBR, AUS;NOT_FOUND;Developed economies;Developed economies, Developed economies, Developed economies, Developed economies, Developed economies, Developed economies, Developed economies;10.50509;2.753699
"Jochen Schimmelpfennig;Frank Kurth";MCML - Music Contents Markup Language.;2000;https://doi.org/10.5281/zenodo.1415526;We present an XML-based description interface for various types of musical contents MCML, Music Contents Markup Language. An application of MCML currently developed within our group is a music browser system which enables a content based navigation in digital music files. Another major application of a music contents annotation interface is the description and handling of query results to digital music libraries.;"Jochen Schimmelpfennig, University of Bonn, DEU, education;Frank Kurth, University of Bonn, DEU, education";University of Bonn, University of Bonn;education, education;DEU, DEU;NOT_FOUND;Developed economies;Developed economies, Developed economies;-32.670544;-11.217752
"Karen Lin;Tim Bell";Integrating Paper and Digital Music Information Systems.;2000;https://doi.org/10.5281/zenodo.1416544;Active musicians generally rely on extensive personal paper-based music information retrieval systems containing scores, parts, compositions, and arrangements of published and hand-written music. Many have a bias against using computers to store, edit and retrieve music, and prefer to work in the paper domain rather than using digital documents, despite the flexibility and powerful retrieval opportunities available. In this paper we propose a model of operation that blurs the boundaries between the paper and digital domains, offering musicians the best of both worlds. A survey of musicians identifies the problems and potential of working with digital tools, and we propose a system using colour printing and scanning technology that simplifies the process of moving music documents between the two domains.;"Karen Lin, University of Canterbury, NZL, education;Tim Bell, University of Canterbury, NZL, education";University of Canterbury, University of Canterbury;education, education;NZL, NZL;NOT_FOUND;Developed economies;Developed economies, Developed economies;-41.69803;11.355583
"Donald MacLellan;Carola Boehm";MuTaTeD'll: A System for Music Information Retrieval of Encoded Music.;2000;https://doi.org/10.5281/zenodo.1417755;MuTaTeD'II started in November 1999, building on the results of the MuTaTeD project. Its aim is to design and implement a music information retrieval system with delivery/access services for encoded music. The prototype service will provide a user friendly, web-based search/browse/query interface to access musical content.;"Donald MacLellan, University of Glasgow, GBR, education;Carola Boehm, University of Glasgow, GBR, education";University of Glasgow, University of Glasgow;education, education;GBR, GBR;NOT_FOUND;Developed economies;Developed economies, Developed economies;-28.52326;10.073256
